"DATES" "FL894104005.Q" "FL384104005.Q" "FL154104005.Q" "FL104104005.Q" "FL114104005.Q" "FL134104005.Q" "FL214104005.Q" "FL314104005.Q" "FL264104005.Q" "FL794104005.Q" "FL764104005.Q" "FL724104005.Q" "FL753169600.Q" "FL734104005.Q" "FL444104005.Q" "FL473169333.Q" "FL543169333.Q" "FL404104005.Q" "FL413065005.Q" "FL674190005.Q" "FL614104005.Q" "FL644104005.Q" "FL664104005.Q" "FL504104005.Q" "FL894104005.Q" "FL384004005.Q" "FL154004005.Q" "FL104004005.Q" "FL114004005.Q" "FL214004005.Q" "FL314004005.Q" "FL264004005.Q" "FL794004005.Q" "FL714004005.Q" "FL764004005.Q" "FL724004005.Q" "FL754004005.Q" "FL734004005.Q" "FL744004005.Q" "FL444004005.Q" "FL474004005.Q" "FL514004005.Q" "FL544004005.Q" "FL574004005.Q" "FL224004005.Q" "FL344004005.Q" "FL634004005.Q" "FL654004005.Q" "FL554004005.Q" "FL564004005.Q" "FL404004005.Q" "FL413065005.Q" "FL674004005.Q" "FL614004005.Q" "FL644004005.Q" "FL664004005.Q" "FL504004005.Q"
"196602" 1148620 1041025 350844 221673 68759 34978 107051 257720 38615 68980 5148 4457 691 0 7350 0 0 17380 1033 0 38069 0 0 0 1148620 284659 180030 33153 3830 28133 39513 17057 846904 41912 314098 310600 2836 0 662 178622 8783 21227 142227 30605 33084 0 0 4578 2082 0 21574 1033 0 44193 0 2303 583
"196603" 1162449 1053841 355023 225732 69796 35564 108731 258995 38716 69892 5098 4417 681 0 7705 0 0 18512 1167 0 37410 0 0 0 1162449 291431 186680 31781 3725 27815 41430 17181 853837 41600 315163 311315 3150 0 698 180537 9115 21636 144105 31121 34181 0 0 4950 2056 0 22444 1167 0 43374 0 1595 793
"196604" 1187819 1075508 361248 232141 71454 35504 110037 265124 39457 72854 5333 4605 728 0 7467 0 0 19007 1314 0 39733 0 0 0 1187819 297116 190039 32884 3988 27471 42734 17261 873442 43724 323110 319089 3293 0 728 181699 9354 22025 145941 31892 34948 0 0 5119 2044 0 23333 1314 0 44937 0 3235 767
"196701" 1197275 1085684 360273 237600 72238 36637 111288 267649 40883 70708 5638 4890 748 0 5442 0 0 18314 1480 0 39834 0 0 0 1197275 297261 190167 31379 3654 27244 44817 17879 882135 44039 326085 321716 3604 0 765 183814 9355 22422 148019 32218 35601 0 0 4835 2117 0 23256 1480 0 44783 0 3379 732
"196702" 1209215 1097624 367159 244818 74354 38066 113659 259568 41645 69946 6092 5258 834 0 4562 0 0 17613 1660 0 40019 0 0 0 1209215 291727 186057 29117 3730 27213 45610 18260 899228 46370 335984 331533 3648 0 803 186925 9757 22752 149735 32171 36442 0 0 4363 2123 0 23015 1660 0 44791 0 2340 800
"196703" 1231841 1118803 372159 248078 76233 38510 115889 267934 42545 70493 6142 5305 837 0 4384 0 0 17907 1821 0 40239 0 0 0 1231841 296539 190188 28565 3677 27441 46668 18991 916311 46462 344621 339875 3905 0 841 191914 10013 23094 151709 32612 37253 0 0 4145 2143 0 22630 1821 0 44487 0 2632 775
"196704" 1268372 1151459 380428 258089 78685 38815 117372 278070 43340 73573 6323 5451 872 0 4778 0 0 18386 1988 0 42098 0 0 0 1268372 305463 195166 31380 3972 27621 47324 20037 942872 49055 359838 354977 3985 0 876 194954 10219 23483 153341 32762 38280 0 0 4309 2189 0 23289 1988 0 45455 0 2888 822
"196801" 1285918 1167104 383628 261234 79670 39908 118914 283750 44239 74575 6342 5466 876 0 4558 0 0 19524 2169 0 41837 145 0 0 1285918 312797 199297 32614 3742 28291 48853 19877 953244 49610 358423 353341 4188 0 894 199218 10295 23932 155500 33394 38966 0 0 4918 2271 0 24458 2169 0 46055 150 2509 1376
"196802" 1311478 1187892 394023 269091 82150 41405 121158 280065 44615 78971 6468 5602 866 0 5248 0 0 20912 2359 0 43697 287 0 0 1311478 316696 201592 32071 3877 29015 50141 19346 975436 52377 368464 363275 4281 0 908 202177 10847 24438 156972 33367 39868 0 0 4326 2399 0 26059 2359 0 47982 383 2305 1113
"196803" 1336944 1212330 401100 274359 84225 41637 123197 287812 45310 79304 6592 5718 874 0 5368 0 0 21305 2444 0 43100 495 0 0 1336944 319900 203627 30783 3782 30200 51508 20723 996321 52454 379342 373999 4422 0 921 205672 11296 24950 158695 33576 40633 0 0 4654 2522 0 26021 2444 0 48142 538 4211 1171
"196804" 1373395 1243347 412835 285124 87090 41583 126125 290591 46066 83982 6693 5799 894 0 5718 0 0 21862 2526 0 46417 766 0 0 1373395 325088 203481 33739 4152 31449 52267 22606 1025701 52995 398738 393416 4361 0 961 208919 11718 25413 160687 33823 41640 0 0 4128 2588 0 26518 2526 0 50622 830 3534 1022
"196901" 1390498 1257510 413395 291743 89002 42811 129933 290626 46872 86116 6806 5704 902 200 5679 0 0 22728 2616 0 47305 982 0 0 1390498 337926 213446 34421 3880 33076 53103 21976 1030596 52089 394376 388338 4681 350 1007 213519 12002 25832 162836 33808 42500 0 0 5161 2702 0 27388 2616 0 51572 992 1823 1380
"196902" 1417926 1275720 424615 302416 92621 44412 133548 278108 47931 94275 8183 5952 986 1245 6797 0 0 25059 2701 0 50437 1098 0 0 1417926 338034 212951 33394 4067 34118 53504 22253 1057639 54136 405891 398165 4998 1662 1066 216585 12815 26124 164117 33640 43497 0 0 4760 2699 0 29621 2701 0 55438 1275 2851 1489
"196903" 1449593 1300154 431985 308334 96004 44882 136325 282625 48494 100945 9894 6242 1057 2595 8354 0 0 27756 2949 0 50754 1238 0 0 1449593 355108 230297 31149 4135 35045 54482 24933 1069552 54028 405846 395330 5528 3858 1130 220160 13390 26578 166079 34294 44672 0 0 5334 2660 0 31764 2949 0 56522 1498 2087 1691
"196904" 1491168 1330376 442680 317774 99612 44617 138257 287436 49248 111544 11837 6442 1101 4294 9816 0 0 30645 3204 0 54562 1480 0 0 1491168 369937 241379 32237 4512 36403 55406 23164 1098067 57218 418349 407207 6005 3946 1191 221493 13786 27032 167625 34620 45468 0 0 5145 2576 0 35107 3204 0 59182 2007 3670 1585
"197001" 1507652 1339842 435952 336701 91505 45976 140356 289353 49865 117945 14881 6385 1081 7415 10097 0 0 34278 3499 0 53664 1526 0 0 1507652 380376 251631 30761 4364 37304 56316 25506 1101770 55737 412024 397292 6663 6837 1232 223361 13819 27812 169881 34887 46503 0 0 5589 2423 0 38999 3499 0 59660 2355 3436 1785
