"DATES" "FL764090005.Q" "FL723025000.Q" "FL763013005.Q" "FL743020003.Q" "FL764005005.Q" "FL763069175.Q" "FL763061105.Q" "FL763061705.Q" "FL763062005.Q" "FL763063005.Q" "FL763068005.Q" "FL763065005.Q" "FL723066000.Q" "FL763067005.Q" "FL763064105.Q" "FL723064203.Q" "FL763069705.Q" "FL763090005.Q" "FL764190005.Q" "FL764110005.Q" "FL714010005.Q" "FL904010005.Q" "FL764116005.Q" "FL763127005.Q" "FL723123005.Q" "FL763122605.Q" "FL763129205.Q" "FL763131005.Q" "FL763135005.Q" "FL762150005.Q" "FL764104005.Q" "FL763169175.Q" "FL763163005.Q" "FL723169305.Q" "FL723178003.Q" "FL763190005.Q" "FL764004005.Q" "FL723066303.Q"
"197402" 805550 8355 30086 730 706726 5825 52867 31778 100603 5779 267791 127320 102221 12373 169 0 13174 46479 758528 10199 5507 2673 2019 223409 8364 12208 202837 257461 145754 34379 30177 20258 9919 0 775 56375 707358 0
"197403" 821020 10507 33256 675 714598 5990 51366 32380 99807 5921 271912 130582 104123 12349 168 0 16035 45949 777250 12231 8913 1978 1340 218311 7377 11769 199165 256462 158963 37170 35002 24834 10168 0 940 58171 718116 0
"197404" 835784 11640 25843 787 733316 6391 55135 33192 101148 6596 281488 132105 102989 14103 169 0 18484 45714 790316 3325 2300 663 362 238891 4804 13468 220619 264965 162214 28477 37351 27001 10350 0 940 54154 737528 0
"197501" 832925 10562 30437 795 718827 7359 59997 33485 100530 7208 265834 131903 100425 11903 183 0 18730 53574 787749 -86 2976 2503 -5565 217863 3945 11574 202344 275501 160762 30747 38286 27871 10415 0 1115 63561 725471 0
"197502" 848023 10084 25976 803 736163 7148 68885 34061 102305 7857 268596 133012 101549 12584 166 0 17740 57257 800735 -8465 2352 -1122 -9695 232509 3110 12663 216736 287538 152328 32317 36938 26708 10230 0 615 66955 741153 0
"197503" 861252 11168 29363 850 739451 7871 76027 34175 102379 8117 261862 134514 104026 10315 165 0 16790 63630 813526 -1261 3808 511 -5580 227071 3175 12458 211438 296052 150694 33680 36019 25756 10263 0 615 70657 745761 0
"197504" 885079 12252 26052 899 765278 9771 85021 34899 102927 9450 265761 136186 106055 15029 179 0 18727 61871 837605 -8671 3917 -3091 -9497 247220 3112 13191 230917 305294 152063 29930 42047 27568 14479 0 615 69108 768797 0
"197601" 886541 11257 28150 875 761097 8800 90391 35092 101172 9289 257029 139629 105611 13842 242 0 18901 66261 836399 -8424 2164 -440 -10148 230029 2378 12537 215114 322696 142245 32740 42667 27517 15150 0 615 73831 765914 0
"197602" 909276 11981 27460 864 782446 8698 92503 34838 104102 9216 264463 143698 110077 14617 234 0 19783 66742 858307 -11480 3891 -1407 -13964 240942 4626 13014 223302 330745 141429 37969 43890 27989 15901 0 615 74197 787378 0
"197603" 924531 12287 29716 800 791659 9803 94430 35664 104550 9150 260613 147806 114633 14788 222 0 19599 70470 873112 -10405 3137 -1610 -11932 236719 5678 13777 217264 342022 136301 46839 44689 27689 17000 0 615 76333 796248 0
"197604" 960096 12121 25158 744 832572 13000 103774 36490 105976 9193 272900 151326 118043 21656 214 0 22523 66978 907672 -16773 2626 -3952 -15447 260850 3023 16223 241604 359872 136830 43820 48607 30607 18000 0 615 73852 833225 0
"197701" 972334 12124 26883 900 835992 10379 105874 35544 107100 9250 273667 155163 119842 18933 240 0 22694 73741 919238 -17777 3062 -4323 -16516 246175 3426 14780 227969 377136 135851 47615 49596 30886 18710 0 648 79994 839513 0
"197702" 1001365 12725 24562 1093 863600 10280 102903 36554 111277 9392 283017 163007 127616 19315 239 0 23440 75945 947246 -16370 3864 -2942 -17292 254116 2820 15160 236136 383266 137532 53199 51797 32204 19593 0 700 83006 867486 0
"197703" 1025617 11326 23953 1172 889646 10574 101140 36486 114567 9592 289637 171166 134369 21879 236 0 23317 76203 969882 -14493 3248 -6498 -11243 255877 5294 15262 235321 387935 145480 55330 52815 32465 20350 0 756 86183 890848 0
"197704" 1066900 13922 26870 1252 923122 13196 101960 37547 115155 10058 301789 178978 140302 23892 245 0 25654 76080 1012168 -21666 4075 -9374 -16367 285148 7315 18652 259181 388717 163080 54381 56140 35046 21094 0 800 85569 924639 0
"197801" 1080341 11622 27900 1332 934310 10395 100825 38829 115594 9680 310776 184596 143291 20050 274 0 24181 80996 1024984 -21146 3064 -3348 -20862 260182 3560 17086 239536 397495 174417 63947 55889 34569 21320 0 829 93371 938167 0
"197802" 1128806 11888 27920 1414 976400 10628 99573 40695 118682 9349 326695 194467 154140 21900 271 0 24289 86895 1071711 -15801 4746 -5831 -14716 276439 7960 17157 251322 400859 182960 69504 58175 36559 21616 0 840 98736 978518 0
"197803" 1164490 12141 26830 1489 1007109 11373 97592 42443 121812 9238 336388 205163 161619 21202 279 0 21952 94969 1105929 -7322 5084 -7324 -5082 276424 7941 16428 252055 405741 193557 73674 57034 35177 21857 0 860 105962 1007580 0
"197804" 1220035 15470 31223 1578 1048805 11981 95329 44296 126205 8863 360430 214046 166512 21025 118 0 24938 98021 1161659 -11456 7688 -9189 -9955 310575 14075 18348 278152 403423 211728 76896 63161 41055 22106 0 915 106417 1052600 0
"197901" 1231960 12345 31714 1673 1061424 11293 96292 45058 128096 9413 362982 219655 168703 19812 120 0 25214 99590 1171222 2293 5300 -8811 5804 276909 4163 16143 256603 410297 212940 90488 64000 41940 22060 0 1022 113273 1066706 0
"197902" 1277026 13272 30407 1755 1102319 12011 94584 46914 129353 9406 382366 228820 176177 22569 119 0 27158 102115 1212614 7048 5482 -8789 10355 303409 16276 18752 268381 417088 205404 98509 69154 47155 21999 0 1195 110807 1106789 0
"197903" 1322204 13609 29089 2090 1145090 12566 93690 49258 133399 10019 403082 238796 182530 21630 120 0 30907 101419 1255615 10911 3810 -10855 17956 312993 19862 19558 273573 426915 218986 99056 74945 52981 21964 0 1348 110462 1154247 0
