"DATES" "FL104090005.Q" "FL103091003.Q" "FL103020003.Q" "FL103030003.Q" "FL103034003.Q" "FL102050003.Q" "FL104004005.Q" "FL103069100.Q" "FL103061103.Q" "FL103061703.Q" "FL103062003.Q" "FL103065003.Q" "FL103066005.Q" "FL103064203.Q" "FL103070005.Q" "FL103090005.Q" "FL103092005.Q" "FL103076003.Q" "FL103092403.Q" "FL103094105.Q" "FL103093005.Q" "FL104190005.Q" "FL104104005.Q" "FL103169100.Q" "FL103162005.Q" "FL103163003.Q" "FL103168005.Q" "FL103169005.Q" "FL103165005.Q" "FL103170005.Q" "FL103178000.Q" "FL103190005.Q" "FL103192005.Q" "FL573074005.Q" "FL103193005.Q" "FL103075005.Q" "FL103164103.Q" "FL104120005.Q" "FL104140005.Q" "FL104150005.Q" "FL104001005.Q"
"196303" 214966 1000 29821 5117 0 0 32232 445 14602 1399 4571 56 11159 195 98517 48084 38183 5977 89 0 3835 267061 168083 1111 0 87225 42552 10159 27035 71911 14713 12354 5990 864 5500 26606 487677 114260 53823 140447 57150
"196304" 220431 731 33427 5687 0 0 33877 969 15128 1608 3787 60 12325 203 98100 48406 39081 6031 90 0 3204 277857 173742 968 0 88414 45322 10845 28192 75976 15744 12395 5852 895 5648 22124 465779 116606 57136 148856 61540
"196401" 220025 867 28846 6724 0 68 34174 1341 16148 1325 3824 65 11471 214 99195 49937 39821 6111 90 0 3915 275810 175095 948 0 89091 44660 11715 28682 72804 15109 12802 5938 940 5924 26391 495027 117773 57323 145236 59357
"196402" 224906 978 30806 6452 0 169 34007 1058 15240 1364 4338 72 11935 225 100951 51318 40774 6186 91 0 4267 281254 179194 889 0 90362 46311 12305 29327 74377 14675 13008 6045 978 5985 26574 511094 119689 59505 148557 60630
"196403" 230952 1243 30996 6309 0 135 33282 1729 14402 1152 3791 79 12129 238 106316 52433 41684 6263 91 0 4395 287370 181254 1081 0 91058 46898 12199 30018 77360 15338 13418 6098 1014 6306 28956 528953 121076 60178 152876 59995
"196404" 234953 1097 32738 6671 0 309 34123 1694 14481 1000 3680 84 13184 253 106719 53043 42632 6350 91 0 3970 300021 187535 1125 0 92408 49884 12602 31516 82924 16211 13351 6033 1049 6269 23795 545955 123924 63611 162746 61923
"196501" 237230 1033 29399 7704 0 280 33580 995 14092 1078 4889 86 12440 270 109385 55579 44164 6434 92 0 4889 304244 191659 847 0 93342 52039 13357 32074 82781 15891 13913 6206 1081 6626 26604 559834 125416 66243 164915 59740
"196502" 242849 822 30209 8601 0 198 32660 678 12320 1059 5455 86 13062 289 112603 57467 45578 6534 94 0 5261 311892 197157 727 0 94941 55012 14013 32464 85261 15316 14159 6208 1087 6863 27342 539451 127405 69752 170329 59631
"196503" 248753 892 29266 9212 0 336 32228 893 11829 1254 5186 86 12980 309 118258 58252 46527 6646 94 0 4985 319839 200334 926 0 96634 56228 13666 32880 88536 16329 14640 6370 1157 7112 29722 587928 129514 70820 175685 59177
"196504" 262354 781 33053 8993 0 593 33916 1370 12548 1238 4600 88 14072 330 120046 64642 53344 6766 97 0 4435 335211 207560 797 0 97260 60730 14787 33986 94592 18294 14765 6433 1203 7129 25454 623812 131246 76314 189200 63506
"196601" 264419 884 27944 9886 0 512 33962 2375 12958 1216 4068 93 13252 351 123066 67814 54309 6894 104 0 6507 339538 212691 820 0 100223 61718 15615 34315 93372 18132 15343 6571 1226 7546 29694 606267 134538 78153 189657 60194
"196602" 269874 917 28747 9708 0 439 33153 2473 11330 1382 4060 100 13808 370 127428 69112 55794 7034 111 0 6173 348223 221673 861 0 102790 66154 16111 35757 95670 15594 15287 6669 1223 7394 31758 581050 138547 83125 194389 59426
"196603" 273866 932 27617 9774 0 481 31781 1952 10774 1107 4506 108 13334 393 132912 69976 56929 7181 115 0 5751 356737 225732 1466 0 105223 67196 15276 36570 98923 16562 15520 6633 1189 7698 33989 523227 141793 83938 199423 57536
"196604" 276711 885 32371 8603 0 895 32884 2852 11054 1027 3639 114 14198 425 132467 68181 56731 7331 120 0 3999 369173 232141 1622 0 107474 69136 16348 37561 103800 17414 15818 6947 1249 7621 28667 547891 145035 87106 208320 61751
"196701" 275208 951 29265 9556 0 568 31379 3495 10445 793 3345 115 13186 469 132968 70052 58053 7490 121 0 4388 370432 237600 2677 0 110617 69507 16861 37939 99739 16730 16363 7141 1353 7869 33229 625556 148556 89044 205513 58887
"196702" 276398 843 31172 8777 0 667 29117 3418 7908 686 3322 113 13670 523 134782 70517 58881 7657 122 0 3857 373775 244818 3242 0 114236 72599 16506 38236 100977 11296 16684 7355 1380 7949 33805 641312 152472 92346 204619 57316
"196703" 283126 827 32297 9099 0 605 28565 3916 7287 684 3106 111 13461 581 139084 72068 60053 7830 128 0 4057 380979 248078 3264 0 118745 71850 15982 38237 103648 11866 17387 7492 1451 8444 35436 678588 156982 91097 206611 58402
"196704" 294462 1055 34817 9682 0 670 31380 3952 8614 1005 3300 112 14397 635 140882 75341 63037 7999 134 0 4171 397015 258089 3034 0 122132 75631 16474 40818 109723 13225 15978 7595 1470 6914 31159 712221 162950 95139 218087 63730
"196801" 299686 1357 33207 9375 0 1103 32614 3819 9950 1184 4290 106 13265 692 143767 77571 64147 8181 141 0 5102 406167 261234 3482 0 124734 75179 17598 40242 108829 17667 18437 7945 1443 9049 34938 652734 164976 96258 222754 64977
"196802" 306552 1749 35000 8129 0 1067 32071 4603 8627 1333 3741 104 13663 759 149074 78703 65433 8363 148 0 4759 414454 269091 3400 0 128262 78874 17893 40662 113445 13031 18887 8078 1566 9243 35629 731114 168924 100167 226643 65008
"196803" 313273 1832 34846 8539 0 1021 30783 5071 7879 1364 3201 103 13165 816 155913 79523 67032 8560 156 0 3775 426456 274359 4928 0 131563 79428 17448 40992 119316 12930 19851 8195 1621 10035 36597 728536 172555 101804 234050 64569
"196804" 327505 1587 37531 9056 0 1121 33739 5099 8959 1434 3782 100 14365 845 159554 84072 70780 8788 160 0 4344 445991 285124 4249 0 135025 85429 18179 42242 126213 14330 20325 8250 1671 10404 33341 843150 177267 107857 248400 69414
"196901" 335366 1856 36754 7692 0 2202 34421 6207 9399 1770 3600 123 13322 845 164621 86975 72317 9046 169 0 5443 455207 291743 4880 0 138462 86915 18848 42638 126219 15517 21728 8558 1667 11504 38402 803399 181100 110643 252379 70325
"196902" 343244 1809 40552 4593 0 1946 33394 6806 7949 1601 3300 160 13578 816 170996 89138 74151 9336 181 0 5470 468361 302416 4914 0 141743 92671 20733 42356 131262 12220 22463 8774 1674 12014 39734 774485 184099 118318 261800 69372
"196903" 351144 1618 41094 3525 0 2868 31149 7206 5786 1569 3050 201 13337 777 179386 90727 75781 9639 203 0 5104 481859 308334 5778 0 144467 94302 21845 41942 137469 12507 23549 9017 1672 12861 41917 743955 186409 121925 271901 67493
"196904" 361680 1173 43122 3652 0 3311 32237 7628 5646 1676 2800 236 14251 745 182722 94718 79799 9935 225 0 4759 500409 317774 5356 0 147000 98834 23499 43085 145730 12628 24278 9590 1710 12978 36992 705075 190085 127688 286046 69753
"197001" 365827 1172 40690 4348 0 3762 30761 8156 5255 1476 2675 194 13005 719 186944 97431 81920 10173 0 0 5338 506349 336701 7044 0 150069 99530 24161 55897 143498 12846 13304 10179 1720 1405 43446 677754 205966 130735 287079 68253
"197002" 370954 1220 39393 5311 0 1259 32530 8432 6065 1486 3050 202 13295 688 189675 100878 84423 10377 0 0 6078 518803 349017 6895 0 155797 103985 25516 56824 146363 10054 13369 10400 1560 1410 43312 541573 212621 136396 292813 66904
"197003" 374606 1141 40512 5325 0 63 32375 8433 6966 1164 1925 208 13679 662 192568 101960 86057 10584 0 0 5319 526801 354504 7361 0 161157 102875 25138 57973 148279 10159 13859 10763 1730 1366 44289 633467 219130 135374 293812 66191
"197004" 383079 798 44059 5347 0 234 33932 9389 6283 1209 2175 214 14662 645 191389 106675 90606 10831 0 0 5238 539623 362101 7133 0 166756 103628 25010 59574 153602 9996 13924 11074 1858 992 37787 702189 226330 135771 299369 70139
"197101" 389007 1082 39955 7544 0 1318 35050 9954 5735 1049 2425 219 15668 645 193247 110166 89150 11068 0 0 9948 546116 368037 8333 0 172222 101409 25750 60324 151671 11698 14710 11280 2004 1426 41576 774490 232546 135492 298861 69707
"197102" 397073 1102 40676 8824 0 6 36904 9791 7130 929 2675 199 16180 659 196592 112310 91419 11294 0 0 9597 556453 377343 6856 20 177621 104386 26999 61462 153719 10799 14592 11431 2029 1132 42873 778343 239103 138241 302759 71792
"197103" 408359 1239 40734 9265 0 1063 37181 10510 6211 902 2925 220 16413 677 201971 116229 93658 11550 0 0 11021 567535 383772 7434 53 181204 106024 26822 62235 156998 12131 14634 11115 2097 1421 44973 765304 243492 140280 309409 73526
"197104" 424651 1234 42581 9509 0 1077 41971 11275 9057 911 3175 239 17314 690 203801 123788 99578 11878 0 0 12332 585310 390563 6247 86 185563 107679 26402 64586 167228 13086 14433 11181 2199 1054 36573 823753 250235 140327 320641 79509
"197201" 435766 1421 40251 11740 0 2565 40127 12388 7207 823 3425 237 16047 701 210218 128743 96557 12282 0 0 19904 594281 399233 7538 126 188338 108075 27822 67335 166069 14398 14581 10949 2350 1282 44149 871948 255799 143435 323902 80521
"197202" 444927 1626 40246 12324 0 3111 39706 13219 5200 808 3675 199 16605 711 215549 131654 98126 12768 0 0 20760 605108 409795 8126 293 192150 111643 28516 69067 168842 12257 14214 11187 2426 602 46707 874936 261510 148285 329384 80920
"197203" 456403 1820 43158 10941 0 2103 40469 13513 4828 975 3925 271 16957 721 222993 134198 100132 13272 0 0 20794 620892 415686 7761 466 195187 113443 28168 70661 177323 13824 14059 11558 2537 -37 45670 893435 266314 149372 340519 81984
"197204" 493030 2172 44938 11890 0 2688 44551 14235 6881 1036 4175 226 17998 732 230207 155852 120465 13729 0 0 21658 649539 429866 6968 634 197750 120453 30427 73635 190373 15521 13779 11946 2722 -889 39834 1032664 272019 157848 363742 88747
"197301" 510006 2722 41062 15583 0 6514 42017 13258 5947 1097 4425 264 17026 743 240370 160995 104576 14208 0 0 42211 667193 442967 5871 955 199202 128854 31847 76238 191868 17634 14724 12891 2695 -862 48502 970552 276395 166572 376074 91351
"197302" 527575 3005 41060 17879 0 6345 42781 13437 4759 1256 5050 300 17979 754 251373 164378 107275 14692 0 0 42411 694574 459845 6032 1490 202249 133976 33454 82644 203022 15760 15947 14031 2634 -719 48351 903639 286383 173462 392244 93545
"197303" 544374 2729 42702 17271 0 9501 40284 13633 1923 1659 4675 312 18082 765 264071 167051 109121 15185 0 0 42745 722178 476608 6335 1979 204906 135256 34326 93806 211491 17565 16514 14501 2826 -813 52580 953484 300691 175917 404973 94858
