"DATES" "FL754090005.Q" "FL753013003.Q" "FL754005005.Q" "FL753069603.Q" "FL753061103.Q" "FL753061703.Q" "FL753062003.Q" "FL753063003.Q" "FL753068005.Q" "FL753065005.Q" "FL753067000.Q" "FL753064103.Q" "FL293169750.Q" "FL753093005.Q" "FL754190005.Q" "FL754110005.Q" "FL754116005.Q" "FL754112005.Q" "FL753127005.Q" "FL753131005.Q" "FL753135005.Q" "FL752150000.Q" "FL753169600.Q" "FL753190005.Q" "FL753192003.Q" "FL753194503.Q" "FL753193005.Q" "FL754004005.Q"
"198004" 98094 719 87442 4764 2530 389 386 736 75326 2178 1016 117 7827 2106 101157 40598 17299 23299 13749 3109 25320 0 8649 9732 4617 3892 1223 94136
"198101" 98724 907 86969 4951 2343 447 387 873 74191 2558 1127 92 8462 2386 101847 39961 16159 23802 12950 3205 26537 0 9291 9903 4844 4566 493 94212
"198102" 102108 1144 88488 5414 2371 460 350 1082 73683 3054 1994 80 8954 3522 105292 42191 17526 24665 12487 3236 27172 0 10248 9958 5403 2775 1780 95368
"198103" 111346 1417 95597 5500 2431 654 347 884 80725 3427 1547 82 9190 5142 114592 49919 20929 28990 11456 3569 29931 0 10633 9084 5795 2952 337 103158
"198104" 121488 1316 97447 5808 2942 590 315 1048 81140 3916 1622 66 10875 11850 124798 26211 -10041 36252 7605 3967 32075 0 11865 43075 6553 12610 23912 106634
"198201" 106673 1393 69399 5285 3108 580 287 580 54378 4255 853 73 11246 24635 110048 29640 -5817 35457 6116 3220 27561 0 12423 31088 6780 13446 10862 79719
"198202" 106037 1312 68781 5265 2841 582 269 614 53539 4651 950 70 11493 24451 109478 26537 -9896 36433 6343 3565 30343 0 13356 29334 7178 15043 7113 79254
"198203" 108276 1547 71770 5229 2798 597 265 660 56308 4876 965 72 11361 23598 111784 25208 -16209 41417 5506 3828 32763 0 12661 31818 7518 16766 7534 82094
"198204" 107615 1663 72688 5109 3757 589 265 657 56076 4994 1165 76 11640 21624 111192 20760 -17872 38632 5920 4136 35818 0 13415 31143 7846 17067 6230 83087
"198301" 99299 1827 72762 1487 4645 555 265 695 59260 5025 745 85 10955 13755 102946 19404 -21137 40541 5446 3196 26485 500 12492 35423 8068 16273 11082 82887
"198302" 97283 1241 71153 1936 5424 523 150 744 56763 4974 553 86 11078 13811 101002 21397 -16391 37788 6271 3548 29976 1500 12432 25878 8135 16866 877 81592
"198303" 108175 938 73277 1849 5034 617 250 896 58663 4833 1052 83 13093 20867 111967 24635 -13763 38398 5751 3550 29818 2500 14553 31160 8556 16609 5995 85235
"198304" 108584 997 74605 1743 5390 648 168 1053 58692 5190 1644 77 13876 19106 112450 24577 -10288 34865 6252 3283 27076 3500 15652 32110 8697 19257 4156 86760
"198401" 112413 900 74576 794 5183 603 156 1141 60503 4422 1695 79 14623 22314 116355 24794 -9517 34311 6159 3046 25199 3739 16358 37060 8919 19167 8974 87425
"198402" 116527 1000 74080 854 5068 599 106 1776 60045 4264 1289 79 16644 24803 120546 24344 -8764 33108 6349 3453 27996 3692 18510 36202 9269 14786 12147 89356
"198403" 115076 1100 75348 795 4996 756 171 2522 60112 4407 1514 75 19793 18835 119174 25548 -6193 31741 5590 3269 26638 3926 21840 32363 10018 20041 2304 93552
"198404" 121593 1300 81905 852 4812 597 77 2818 64369 5616 2760 4 20483 17905 125772 27656 -5690 33346 5218 3773 30951 3168 22921 32085 10326 19592 2167 99624
"198501" 123974 1450 81028 887 4807 581 75 3632 63492 5453 2032 69 20038 21458 128235 24074 -6608 30682 5494 3975 32042 4264 22505 35881 10555 21362 3964 98965
"198502" 124424 1600 83916 1164 3992 590 87 4287 65559 5380 2783 74 20667 18241 128769 26114 -11306 37420 5747 3718 29251 4370 23159 36410 10710 21025 4675 101726
"198503" 130105 1700 91467 1269 4424 708 71 5506 70753 5471 3180 85 21100 15838 134536 29895 -6741 36636 6900 4141 33281 4653 23012 32654 11499 20436 719 109302
"198504" 144253 2014 102000 1178 4773 1079 0 6337 75847 5743 6953 90 22095 18144 148771 39286 927 38359 7329 4915 30721 7643 24416 34461 11377 22679 405 117052
"198601" 146009 1852 101900 820 4148 1583 0 6553 75943 6174 6580 99 22144 20113 150616 37699 4082 33617 6820 3763 30530 8066 24309 39429 11698 25592 2139 117365
"198602" 150339 2566 108994 1029 5497 2078 0 7921 80519 6587 5283 80 22035 16744 155037 44192 8129 36063 8045 4216 29935 12421 24954 31274 11967 18861 446 125666
