"DATES" "FL134090003.Q" "FL133020003.Q" "FL133090005.Q" "FL133076005.Q" "FL133092403.Q" "FL134190005.Q" "FL134104005.Q" "FL133168000.Q" "FL133169005.Q" "FL893065603.Q" "FL133170005.Q"
"199003" 37933 12897 25036 23036 2000 131094 125229 33212 24100 67917 5865
"199004" 38320 13029 25291 23291 2000 131116 124145 32912 23600 67633 6971
"199101" 38866 13215 25651 23701 1950 131303 120477 31989 20900 67588 10826
"199102" 39419 13403 26016 24016 2000 131491 123324 34486 21296 67542 8167
"199103" 39978 13593 26385 24335 2050 131682 124713 35558 21659 67496 6969
"199104" 40537 13783 26754 24598 2156 131873 123096 34585 21061 67450 8777
"199201" 41162 13995 27167 25067 2100 131797 120996 32989 20450 67557 10801
"199202" 41786 14207 27579 25579 2000 131720 124294 35570 21061 67663 7426
"199203" 42418 14422 27996 25904 2092 131643 125087 36248 21068 67771 6556
"199204" 43049 14637 28412 26320 2092 131565 123435 34667 20889 67879 8130
"199301" 43854 14910 28944 26786 2158 132243 120627 32813 19798 68016 11616
"199302" 44667 15187 29480 27270 2210 132928 123821 35377 20290 68154 9107
"199303" 45489 15466 30023 27806 2217 133619 125878 37122 20463 68293 7741
"199304" 46311 15746 30565 28348 2217 134312 125304 36787 20084 68433 9008
"199401" 46624 15852 30772 28535 2237 135450 123858 35536 19525 68797 11592
"199402" 46940 15959 30981 28728 2253 136601 128719 39171 20382 69166 7882
"199403" 47259 16068 31191 28893 2298 137765 130357 40588 20230 69539 7408
"199404" 47578 16177 31401 29166 2235 138929 128847 38675 20260 69912 10082
"199501" 47944 16301 31643 29453 2190 139929 126825 36937 19530 70358 13104
"199502" 48314 16427 31887 29726 2161 140941 130239 39953 19476 70810 10702
"199503" 48688 16554 32134 29997 2137 141962 132790 41514 20010 71266 9172
"199504" 49063 16681 32382 30219 2163 142985 131377 39735 19919 71723 11608
"199601" 49042 16674 32368 30233 2135 144374 129610 37588 19628 72394 14764
"199602" 49022 16667 32355 30202 2153 145764 134786 40923 20798 73065 10978
"199603" 49001 16660 32341 30197 2144 147169 136262 41521 20997 73744 10907
"199604" 48980 16653 32327 30812 1515 148573 135528 40362 20744 74422 13045
"199701" 49148 16710 32438 30928 1510 147403 134209 38246 20532 75431 13194
"199702" 49318 16768 32550 30987 1563 153272 140435 42593 21391 76451 12837
"199703" 49490 16826 32664 31053 1611 156395 143282 43884 21916 77482 13113
"199704" 49661 16885 32776 31261 1515 156909 142795 43893 20388 78514 14114
"199801" 50914 17311 33603 32005 1598 155591 143219 42141 21433 79645 12372
"199802" 52180 17741 34439 32716 1723 161317 148027 46137 21102 80788 13290
"199803" 53461 18177 35284 33483 1801 164133 151516 46988 22584 81944 12617
"199804" 54741 18612 36129 34479 1650 164628 150908 45101 22707 83100 13720
"199901" 55180 18761 36419 34829 1590 162170 148678 42550 22015 84113 13492
"199902" 55624 18912 36712 35042 1670 166712 152809 44637 23036 85136 13903
"199903" 56073 19065 37008 35313 1695 168156 155294 45456 23667 86171 12862
"199904" 56522 19218 37304 35696 1608 167698 154166 44202 22758 87206 13532
"200001" 56658 19264 37394 35870 1524 163567 150849 42368 21892 86589 12718
"200002" 56793 19310 37483 35892 1591 166269 154933 45922 23039 85972 11336
"200003" 56930 19356 37574 35940 1634 165770 155691 46202 24141 85348 10079
"200004" 57067 19403 37664 36030 1634 163931 156149 46901 24524 84724 7782
"200101" 57517 19556 37961 36358 1603 162293 155065 45043 24357 85665 7228
"200102" 57972 19711 38261 36307 1954 167448 160468 47902 25949 86617 6980
"200103" 58433 19867 38566 36563 2003 169503 161311 47298 26434 87579 8192
"200104" 58893 20024 38869 36843 2026 170664 162564 46891 27132 88541 8100
"200201" 59276 20154 39122 37124 1998 168765 161239 44175 26826 90238 7526
"200202" 59663 20285 39378 37302 2076 173692 166884 46760 28170 91954 6808
"200203" 60054 20418 39636 37545 2091 175832 168499 46728 28083 93688 7333
"200204" 60445 20551 39894 37790 2104 177225 169670 45960 28287 95423 7555
"200301" 60937 20719 40218 38147 2071 174013 162948 43366 27176 92406 11065
"200302" 61435 20888 40547 38352 2195 170766 162398 44969 28074 89355 8368
"200303" 61937 21059 40878 38580 2298 167484 160229 45421 28537 86271 7255
"200304" 62440 21230 41210 38702 2508 164202 157083 45533 28363 83187 7119
"200401" 63201 21488 41713 39295 2418 168606 156370 42899 27185 86286 12236
"200402" 63962 21747 42215 39617 2598 173012 163490 46017 28087 89386 9522
"200403" 64731 22008 42723 39964 2759 177464 169410 47623 29268 92519 8054
"200404" 65500 22270 43230 40486 2744 181918 172851 47715 29483 95653 9067
"200501" 65985 22435 43550 40916 2634 185484 170947 44274 28772 97901 14537
"200502" 66474 22601 43873 41246 2627 189088 177902 47213 30516 100173 11186
"200503" 66970 22770 44200 41379 2821 192733 184912 49528 32913 102471 7821
"200504" 67465 22938 44527 41678 2849 196377 190120 49926 35426 104768 6257
"200601" 68992 23457 45535 42668 2867 198154 189720 47679 36464 105577 8434
"200602" 70535 23982 46553 43658 2895 199950 195931 51154 38382 106395 4019
"200603" 72096 24512 47584 44619 2965 201765 199840 52997 39622 107221 1925
"200604" 73656 25043 48613 45597 3016 203581 204287 53197 43042 108048 -706
"200701" 74927 25475 49452 46230 3222 206166 205339 51697 44451 109191 827
"200702" 76213 25912 50301 46853 3448 208779 209968 54513 45109 110346 -1189
"200703" 77512 26354 51158 47645 3513 211422 213869 54870 47485 111514 -2447
"200704" 78812 26796 52016 48458 3558 214064 218865 55507 50676 112682 -4801
"200801" 79499 27030 52469 50010 2459 221178 209759 52672 39209 117878 11419
"200802" 80187 27264 52923 50455 2468 228293 221372 57002 41295 123075 6921
"200803" 80882 27500 53382 51257 2125 235485 218472 58279 31865 128328 17013
"200804" 81577 27736 53841 51793 2048 242678 222868 58682 30604 133582 19810
"200901" 82201 27948 54253 52090 2163 243340 220258 55007 31439 133812 23082
"200902" 82831 28163 54668 52614 2054 244008 221138 57202 29892 134044 22870
"200903" 83469 28379 55090 53224 1866 244684 219849 58934 26636 134279 24835
"200904" 84106 28596 55510 53507 2003 245360 220851 58547 27790 134514 24509
"201001" 84292 28659 55633 53577 2056 244103 216293 54637 27698 133958 27810
"201002" 84481 28724 55757 53860 1897 242834 216396 57376 25623 133397 26438
"201003" 84671 28788 55883 53669 2214 241549 220525 58055 29641 132829 21024
