"DATES" "FL794104005.Q" "FL793169175.Q" "FL403161705.Q" "FL413065005.Q" "FL793163005.Q" "FL693168005.Q" "FL793169005.Q" "FL643165005.Q" "FL794104005.Q" "FL764104005.Q" "FL724104005.Q" "FL753169600.Q" "FL734104005.Q" "FL444104005.Q" "FL473169333.Q" "FL543169333.Q" "FL404104005.Q" "FL413065005.Q" "FL674190005.Q" "FL614104005.Q" "FL644104005.Q" "FL664104005.Q" "FL504104005.Q"
"197802" 369572 80809 99279 62611 79145 20115 25964 1649 369572 58175 25442 4906 27827 28447 0 0 99969 62611 0 116017 4353 0 0
"197803" 383203 79545 105268 65755 79623 21302 29903 1807 383203 57034 23595 4434 29005 33821 0 0 106013 65755 0 116170 4410 0 0
"197804" 412516 89077 111266 70407 81853 24368 33585 1960 412516 63161 26182 4930 32049 37756 0 0 112181 70407 0 124632 4379 0 0
"197901" 427103 94963 117354 75627 82605 21626 32911 2017 427103 64000 26475 4990 32535 35261 0 0 118384 75627 0 129448 4383 0 0
"197902" 453808 104595 122559 80506 82812 25121 36211 2004 453808 69154 28648 5550 34956 39341 0 0 123699 80506 0 136704 4404 0 0
"197903" 475582 109697 126976 87309 82166 27597 39871 1966 475582 74945 32190 6440 36315 43806 0 0 128251 87309 0 137196 4075 0 0
"197904" 504906 115914 135522 94778 85429 27969 43343 1951 504906 76351 33459 6750 36142 47907 0 0 137027 94778 0 144701 4142 0 0
"198001" 526134 119384 144295 99954 87159 27493 45907 1942 526134 81984 36032 7450 38502 50101 0 0 146080 99954 0 144009 4006 0 0
"198002" 539021 122437 148876 104016 90588 26630 44544 1930 539021 86310 39283 8103 38924 47898 0 0 151056 104016 0 133099 3943 0 12699
"198003" 553182 123806 150744 109691 92227 28289 46506 1919 553182 88043 39487 8894 39662 50694 0 0 153089 109691 0 134484 3763 0 13418
"198004" 578082 128839 159926 113959 93021 28744 51683 1910 578082 91350 39855 8649 42846 55375 0 0 162646 113959 0 138474 3755 0 12523
