"DATES" "FL174090005.Q" "FL153091003.Q" "FL173020005.Q" "FL173030005.Q" "FL173034005.Q" "FL174023005.Q" "FL163069103.Q" "FL313161400.Q" "FL173061105.Q" "FL153061705.Q" "FL173062005.Q" "FL153063005.Q" "FL153064105.Q" "FL153064205.Q" "FL543140003.Q" "FL543150005.Q" "FL573150005.Q" "FL363154005.Q" "FL173099005.Q" "FL174190005.Q" "FL173165105.Q" "FL173165005.Q" "FL153166000.Q" "FL153169405.Q" "FL153167005.Q" "FL173199005.Q"
"198502" 7221706 6812 375992 1960555 205775 2081437 56106 76697 211353 40239 330920 76487 1133264 156371 240521 356665 1000252 536424 457273 3306584 1418083 651580 559592 55548 36878 584903
"198503" 7251818 7207 392899 1995724 202116 2051980 58388 78248 225899 35400 347651 79269 1052253 174872 243282 363585 974665 552315 468045 3430077 1469229 672986 585905 55461 38968 607529
"198504" 7770019 7791 396320 2030117 196317 2300905 56471 79777 208213 23404 395065 94710 1229495 213770 246507 260441 1250867 595089 485665 3547426 1518863 678561 610574 55499 50699 633230
"198601" 8168870 7952 407709 2055870 218243 2501508 46010 81423 182920 18462 399332 110943 1393399 269019 250407 273503 1334293 616672 502713 3581161 1549926 694135 606799 55518 52848 621935
"198602" 8415178 8126 441923 2071404 228249 2615497 46360 83821 161835 22620 412498 127477 1455508 305378 254507 295200 1344507 642590 513175 3670778 1608293 708608 627891 55559 52842 617584
"198603" 8363704 8447 463535 2093575 244113 2521903 59181 87769 180590 22966 398687 117132 1316843 338735 259007 305194 1289006 657619 521305 3776006 1675296 723722 649888 55584 55521 615995
"198604" 8801950 8753 514809 2121838 238357 2772574 56132 93332 188354 23316 410850 127826 1494043 378721 263728 327864 1316569 701215 536243 3880764 1722112 746003 666355 55357 57429 633507
"198701" 9403637 8687 483722 2139652 248329 3141651 51388 94672 169460 24067 436079 147459 1771119 447407 270606 341692 1475402 745589 548307 3895943 1761378 757808 644317 55089 53567 623784
"198702" 9587974 8525 498444 2158234 243934 3201538 50753 96803 183836 21386 462468 160195 1748697 477400 276503 349692 1527793 772112 551199 4003144 1835131 766414 660313 55001 56889 629395
"198703" 9911464 8400 507446 2188782 247481 3345222 45110 98533 197170 25553 489320 176799 1825297 487440 282786 362976 1605094 807579 555698 4093754 1889536 771057 679637 55245 59395 638884
"198704" 9361326 9759 519292 2241258 259079 2953826 55346 101103 216887 32109 516598 144646 1462599 424538 289464 348628 1385999 790279 563742 4140803 1919236 781509 698640 55308 41797 644314
"198801" 9662890 9724 509058 2317423 287031 3074513 54134 104023 213445 27148 521748 143772 1559348 450895 295589 376195 1405565 809635 578157 4208894 1965909 800654 693732 54129 40625 653846
"198802" 9916696 10130 514978 2353588 267135 3205164 63158 106167 242584 24126 539156 143383 1638890 447700 301490 393820 1440035 834923 595433 4322570 2035447 818679 710128 54659 41231 662425
"198803" 10078145 10318 509426 2397483 269827 3282546 79925 107781 267648 28969 563250 142258 1651531 441184 306928 413447 1418379 860160 609631 4432201 2095833 836508 725838 54985 42131 676906
"198804" 10405483 10708 522075 2426976 278269 3467148 93557 109556 294262 52357 586008 135149 1757115 439144 314402 435495 1432196 891901 626313 4560018 2152507 864204 745206 55261 43506 699334
"198901" 10675449 11153 506542 2451437 305497 3601035 100226 112167 308773 48854 586659 165417 1836454 442485 318152 445524 1488883 912089 635137 4618043 2186718 874928 753193 56037 39338 707829
"198902" 10970690 11032 502317 2456990 322865 3726549 88499 114020 323257 38751 590059 167169 1937048 467746 326290 465443 1549675 960510 649019 4727058 2245113 885088 769617 56976 44641 725623
"198903" 11388234 11268 498502 2492284 354433 3934484 85995 115706 326114 49875 600130 172760 2090221 493683 332094 476863 1634245 1001003 653058 4829923 2311082 897934 784207 57618 44294 734789
"198904" 11624410 11874 525457 2507474 356883 4021386 87881 117725 289118 74766 613331 178050 2147477 513038 342844 495495 1663257 1032612 667129 4937817 2359485 907686 809285 58439 42540 760382
"199001" 11575500 11755 510182 2535959 384032 3922152 73155 119881 309417 84423 629655 177651 2027978 499992 348924 512988 1639060 1035192 675256 4997398 2439090 910516 792320 62101 41977 751394
"199002" 11831845 12312 520039 2533165 365681 4060279 69568 121866 315017 98450 642618 185142 2098220 529398 356304 548008 1688799 1069983 677274 5069958 2504976 905984 798712 64131 40022 756134
