"DATES" "FL154090005.Q" "FL154000025.Q" "FL153091003.Q" "FL153020005.Q" "FL153030005.Q" "FL153034005.Q" "FL154004005.Q" "FL163069103.Q" "FL153061505.Q" "FL313161400.Q" "FL153061105.Q" "FL153061705.Q" "FL153062005.Q" "FL153063005.Q" "FL153069803.Q" "FL153065005.Q" "FL153064105.Q" "FL153064205.Q" "FL153067005.Q" "FL153040005.Q" "FL153050005.Q" "FL152090205.Q" "FL153090005.Q" "FL154190005.Q" "FL154104005.Q" "FL153165105.Q" "FL153166000.Q" "FL163162005.Q" "FL153168005.Q" "FL153169005.Q" "FL163165505.Q" "FL153167005.Q" "FL163170003.Q" "FL543077003.Q"
"196704" 2226538 439723 0 99852 339871 0 195166 10135 78992 51219 27773 6266 38208 15075 0 46490 682128 42973 4943 115535 195629 528780 21661 397841 380428 245857 108567 0 5524 13262 7218 8866 4600 3947
"196801" 2197941 444798 0 96410 348388 0 199297 10576 83471 51345 32126 5671 37137 15246 0 47196 632831 40523 5184 116737 195262 541214 22095 400723 383628 249262 107272 0 4421 13664 9008 8324 4740 4031
"196802" 2322033 452357 0 98169 354188 0 201592 10809 82132 51477 30655 6476 38066 16467 0 47642 718675 45972 6201 117921 207230 549520 22565 413086 394023 253560 111404 0 5724 14416 8919 10142 4800 4121
"196803" 2362322 465115 0 102797 362318 0 203627 11208 83482 51624 31858 5983 37621 16714 0 48619 727875 48300 6397 119110 212779 556068 23051 420664 401100 258066 114160 0 4702 14895 9277 10361 4990 4213
"196804" 2490549 479444 0 109244 370200 0 203481 12168 81735 51866 29869 6121 36490 18002 0 48965 815334 49529 7039 120324 218721 573116 23561 433784 412835 262817 119324 0 6213 15315 9166 11497 5150 4302
"196901" 2465641 477204 0 102332 374872 0 213446 12889 89044 51834 37210 5982 40035 18292 0 47204 770526 48554 6580 121561 220281 583320 24169 432953 413395 264740 118884 0 4156 15871 9744 9878 5290 4390
"196902" 2446280 483964 0 103692 380272 0 212951 14322 82342 51807 30535 7984 42266 19116 0 46921 733883 46190 6020 122814 223828 591917 24713 443998 424615 269621 123675 0 5005 16559 9754 9445 5460 4478
"196903" 2447826 481920 0 102611 379309 0 230297 16655 90872 51689 39183 9210 45302 20946 0 47312 713075 46004 5187 124083 226278 595878 25104 450092 431985 274395 125813 0 4121 17538 10118 7919 5620 4568
"196904" 2435447 487123 0 107690 379433 0 241379 18534 93166 51770 41396 11306 47244 22006 0 49123 667356 45578 5221 125362 230936 606685 25807 461386 442680 278575 129231 0 6774 18299 9801 8198 5820 4688
"197001" 2432396 483595 0 103789 379806 0 251631 22663 98271 51608 46663 14196 48079 21420 0 47002 643541 46279 4730 126703 233842 615624 26451 453802 435952 275707 126663 0 3973 19160 10449 7078 5980 4792
"197002" 2310023 497965 0 109885 388080 0 247300 24822 88736 51593 37143 14983 48227 22664 0 47868 509525 37027 4160 127979 225789 633134 27144 460227 442878 278572 129421 0 4457 19902 10526 6350 6100 4899
"197003" 2429778 520001 0 113825 406176 0 243874 17559 85911 51704 34207 15736 48542 26399 0 49727 593764 41919 4372 129295 241214 627493 27846 466903 449003 282244 131424 0 4088 20493 10754 6592 6300 5008
"197004" 2526981 535803 0 114933 420870 0 242426 16569 83041 52089 30952 15944 47144 29738 0 49990 650213 44501 4354 130703 253749 636713 28519 475573 457086 285897 133660 0 6076 20900 10553 6909 6460 5118
"197101" 2650094 557756 0 115558 442198 0 237097 14884 79938 52533 27405 14952 46097 31977 0 49249 712824 50329 4828 132202 267832 658048 29178 478372 459528 289481 134072 0 3448 21333 11194 6988 6650 5206
"197102" 2687823 578771 0 121237 457534 0 233836 13765 76155 53182 22973 13113 46375 34744 0 49684 708482 50571 4704 133786 274414 673456 29803 492761 472820 295256 138912 0 5976 21635 11041 7859 6800 5282
"197103" 2716998 594111 0 123260 470851 0 238348 13728 78357 53772 24585 13938 46564 37206 0 48555 693654 49798 4604 135417 282431 688208 30427 505450 484509 302743 143465 0 4948 21952 11401 8465 7120 5356
"197104" 2812757 614057 0 128299 485758 0 233202 13768 74200 54416 19784 14616 45970 37357 0 47291 743724 53006 4886 137055 293492 702258 31077 521620 499394 309404 149243 0 7307 22273 11167 9450 7340 5436
"197201" 2917197 631584 0 127167 504417 0 234590 13000 76873 55202 21671 12832 46559 37719 0 47607 785993 55084 5172 138724 308275 726007 31768 529161 504838 315985 148847 0 5682 22649 11674 11267 7500 5556
"197202" 2952986 649619 0 127260 522359 0 232225 12073 75289 56037 19252 11669 46909 38169 0 48116 781697 54180 4925 140430 319267 738168 32475 548754 522722 324402 156222 0 7637 22949 11511 12661 7670 5701
"197203" 3028514 673559 0 131257 542302 0 231196 9464 76500 56797 19703 10944 47181 38783 0 48324 801771 53712 4733 142166 331095 757069 33213 564355 537598 334348 161529 0 6338 23417 11967 13058 7850 5849
"197204" 3220153 697188 0 139941 557247 0 229977 9333 77357 57667 19690 8899 47684 38506 0 48198 921384 56383 5022 143930 349329 782941 33999 582641 555405 343490 168757 0 7618 23608 11931 13080 8180 5976
"197301" 3195934 715765 0 136769 578996 0 233636 7064 80898 58549 22349 8538 50607 38757 0 47772 853489 50224 4848 145734 349273 808212 34753 594293 567949 351491 171528 61 8971 24111 11787 12037 8220 6087
"197302" 3180952 733739 0 139325 594414 0 237488 8919 81852 59483 22369 8473 51521 38567 0 48156 786769 45290 4520 147589 349081 840953 35523 613812 588505 361755 180398 144 9773 24556 11879 10602 8520 6185
