,LevFac,LogLev,Mkt-RF,SMB,HML,RF
199104,0.07474787103448577,2.448864744988786,-0.0028000000000000004,0.005,0.0149,0.0053
199107,0.13169615666730827,2.5805609016560944,0.0424,-0.0097,-0.013000000000000001,0.0049
199110,0.054660301879724926,2.6352212035358193,0.0129,0.0077,-0.0043,0.0042
199201,-0.07738159464692052,2.557839608888899,-0.0059,0.0848,0.0467,0.0034000000000000002
199204,-0.017418192623816164,2.5404214162650827,0.0109,-0.061200000000000004,0.0436,0.0032
199207,0.13651970933990354,2.676941125604986,0.0378,-0.0045000000000000005,-0.0051,0.0031
199210,-0.0977579950029841,2.579183130602002,0.0102,0.021099999999999997,-0.019799999999999998,0.0023
199301,0.17423625369684714,2.7534193842988492,0.009300000000000001,0.0189,0.059000000000000004,0.0023
199304,0.2055026224730203,2.9589220067718696,-0.0305,-0.0062,0.0255,0.0024
199307,0.02484838624010388,2.9837703930119734,-0.0034000000000000002,0.0096,0.0287,0.0024
199310,0.28874097580050995,3.2725113688124834,0.014199999999999999,0.0199,-0.0278,0.0022
199401,-0.03154241398421709,3.2409689548282663,0.0287,0.0033,0.011000000000000001,0.0025
199404,0.07128048382630903,3.3122494386545753,0.0068000000000000005,-0.009300000000000001,0.0166,0.0027
199407,0.02439105072739922,3.3366404893819746,0.0282,-0.0181,0.0060999999999999995,0.0028000000000000004
199410,-0.45977654691381886,2.8768639424681557,0.013500000000000002,-0.0216,-0.0166,0.0038
199501,-0.012119992991875606,2.86474394947628,0.018000000000000002,-0.0351,0.0259,0.0042
199504,0.054534613540487165,2.9192785630167672,0.021099999999999997,-0.0051,0.0167,0.0044
199507,0.0006408677435190135,2.9199194307602863,0.0371,0.0209,-0.0158,0.0045000000000000005
199510,0.15247574406342101,3.0723951748237073,-0.0151,-0.038,-0.0049,0.004699999999999999
199601,-0.0418748580139936,3.0305203168097137,0.0226,-0.028300000000000002,0.0046,0.0043
199604,0.015728461845854635,3.0462487786555683,0.0206,0.052000000000000005,-0.0397,0.0046
199607,0.021293248233254847,3.067542026888823,-0.0596,-0.043,0.0519,0.0045000000000000005
199610,0.09604481037222357,3.1635868372610467,0.0087,-0.043899999999999995,0.048799999999999996,0.0042
199701,-0.038376834578415675,3.125210002682631,0.0496,-0.019299999999999998,-0.0144,0.0045000000000000005
199704,0.07619393549325437,3.2014039381758854,0.0404,-0.0574,0.0,0.0043
199707,-0.044018832796020035,3.1573851053798654,0.0731,-0.0273,0.0013,0.0043
199710,0.13017113738766062,3.287556242767526,-0.038,-0.0070999999999999995,0.0233,0.0042
199801,0.003324018601915668,3.2908802613694417,0.0015,-0.0101,-0.0168,0.0043
199804,-0.046884422935110415,3.2439958384343313,0.0074,0.0006,0.0103,0.0043
199807,0.11120413491917835,3.3551999733535096,-0.0242,-0.0483,-0.0183,0.004
199810,-0.09577708082500269,3.259422892528507,0.0698,-0.0298,-0.0233,0.0032
199901,-0.07125379557195766,3.1881690969565493,0.0348,0.0067,-0.0446,0.0034999999999999996
199904,-0.10022129109023892,3.0879478058663103,0.0434,0.038900000000000004,0.024,0.0037
199907,0.004365310873144956,3.0923131167394553,-0.0349,0.0248,-0.0018,0.0038
199910,0.11615454491026789,3.208467661649723,0.060899999999999996,-0.0694,-0.0288,0.0039000000000000003
200001,-0.02398185290832311,3.1844858087414,-0.047400000000000005,0.0516,-0.011200000000000002,0.0040999999999999995
200004,-0.015427443811447006,3.169058364929953,-0.0639,-0.06,0.0645,0.0046
200007,0.04410983446189265,3.2131681993918457,-0.0248,-0.028399999999999998,0.0806,0.0048
200010,0.3081990321786128,3.5213672315704585,-0.0278,-0.0385,0.0558,0.005600000000000001
200101,-0.036135649241933354,3.485231582328525,0.0325,0.0641,-0.050499999999999996,0.0054
200104,0.0935528402758905,3.5787844226044156,0.0793,0.005,-0.0464,0.0039000000000000003
200107,0.12183989641472559,3.7006243190191412,-0.0213,-0.0405,0.0495,0.003
200110,-0.12453926737669141,3.57608505164245,0.0248,0.07490000000000001,-0.0731,0.0022
200201,-0.0877515291225226,3.4883335225199272,-0.0144,0.011699999999999999,0.0342,0.0014000000000000002
200204,-0.005974222073598767,3.4823593004463285,-0.0521,0.0582,0.0401,0.0015
200207,-0.02012639269340477,3.4622329077529237,-0.0819,-0.0525,-0.0351,0.0015
200210,-0.4037845965417457,3.058448311211178,0.0784,-0.034,-0.037599999999999995,0.0014000000000000002
200301,0.016691724163833577,3.0751400353750116,-0.025699999999999997,0.0134,-0.0079,0.001
200304,0.022787306083692282,3.097927341458704,0.0818,0.0076,0.012199999999999999,0.001
200307,-0.0255599820356478,3.072367359423056,0.0233,0.0493,-0.015300000000000001,0.0007000000000000001
200310,0.023901922905898765,3.096269282328955,0.0608,0.0259,0.022099999999999998,0.0007000000000000001
200401,0.0404321463575088,3.1367014286864636,0.0215,0.0254,0.0242,0.0007000000000000001
200404,-0.025847466030650246,3.1108539626558134,-0.0181,-0.0173,-0.0323,0.0008
200407,0.03398812617331215,3.1448420888291255,-0.0404,-0.037599999999999995,0.0322,0.001
200410,0.1700859713494185,3.314928060178544,0.014199999999999999,0.0013,-0.0026,0.0011
200501,0.025000861011229336,3.3399289211897734,-0.0275,-0.0166,0.0206,0.0016
200504,0.024964220626056743,3.36489314181583,-0.026099999999999998,-0.0393,0.0005,0.0021
200507,-0.006565821589154197,3.358327320226676,0.0392,0.0287,-0.0078000000000000005,0.0024
200510,-0.005896595722985509,3.3524307245036904,-0.0204,-0.013000000000000001,0.0043,0.0027
200601,-0.08536560705922414,3.2670651174444663,0.030299999999999997,0.0546,0.009899999999999999,0.0034999999999999996
200604,0.027915529625057278,3.2949806470695235,0.0073,-0.0138,0.0226,0.0036
200607,0.0353216235453746,3.330302270614898,-0.0077,-0.0395,0.0262,0.004
200610,0.2999404325960895,3.6302427032109876,0.0322,0.0177,-0.0033,0.0040999999999999995
200701,-0.022020557123846096,3.6082221460871415,0.0138,0.0009,-0.0068000000000000005,0.0044
200704,0.016949061843766433,3.625171207930908,0.0349,-0.022099999999999998,-0.0144,0.0044
