"DATES" "FL893065505.Q" "FL163165505.Q" "FL103165505.Q" "FL113165505.Q" "FL643165503.Q" "FL893065505.Q" "FL153065505.Q" "FL103065503.Q" "FL113065503.Q" "FL213065503.Q" "FL313065505.Q" "FL763065505.Q" "FL443065505.Q" "FL513065503.Q" "FL543065505.Q" "FL573065505.Q" "FL223065505.Q" "FL413065505.Q" "FL673065505.Q" "FL613065503.Q" "FL643065503.Q"
"199103" 819475 89866 246655 479887 3067 819475 2756 20633 8878 7356 20484 377687 89595 6640 218179 14595 7934 20 11798 28221 4699
"199104" 806399 95461 235116 472611 3211 806399 2785 21936 8227 7662 21175 375315 86741 6511 209496 13306 8323 19 12586 27851 4466
"199201" 797409 99843 227180 467031 3355 797409 3008 22122 7895 7728 22582 372857 80278 6388 207709 12588 8161 18 13635 28072 4368
"199202" 791919 98668 225182 464699 3369 791919 3231 22331 7568 7950 21273 373149 75947 6267 204670 11734 8940 18 15464 28668 4708
"199203" 780395 102607 214073 460273 3443 780395 3454 22824 7247 7512 18428 369427 72517 6113 200177 11258 8521 18 19129 29260 4511
"199204" 762720 100863 198089 460180 3588 762720 3676 23479 6866 7530 14622 365672 68235 5889 194353 10619 8875 17 19074 29060 4753
"199301" 755776 103930 189183 458843 3819 755776 3905 22901 6418 7540 13073 363482 65842 5588 193410 10697 8234 16 21142 28908 4620
"199302" 746891 106544 180715 455587 4045 746891 4134 22237 6276 7840 11525 361476 63161 5192 191507 10460 6973 15 23220 28307 4568
"199303" 741309 105916 180080 450234 5079 741309 4364 21530 6177 7454 10889 361244 62519 4792 187730 10821 7565 14 23584 28094 4532
"199304" 737758 108528 181161 442077 5992 737758 4593 20838 5965 7724 20478 357741 60764 4472 178364 9074 6961 13 28055 28239 4477
"199401" 729243 107451 176299 437856 7638 729243 4557 21301 5686 7887 17697 356492 59248 4303 175339 8485 6959 12 27894 28151 5232
"199402" 728961 106053 177666 435528 9715 728961 4522 21792 6179 7973 17158 359050 56861 4134 172683 8226 7097 10 28929 28512 5835
"199403" 729031 104060 179405 433841 11725 729031 4486 22295 6249 8162 15281 360740 54951 3964 171062 7955 6998 9 31321 29319 6239
"199404" 722924 101510 178553 430315 12546 722924 4451 22790 6498 8270 13216 362327 53933 3795 169830 3056 7011 9 31831 29780 6127
"199501" 728416 100313 181149 433844 13110 728416 4669 23097 6286 8139 12469 368529 53987 3550 169568 3087 7029 7 31556 30385 6058
"199502" 730846 98195 182546 435681 14424 730846 4889 23402 6189 8193 11767 371596 52918 3306 169499 3119 7007 6 31740 31103 6112
"199503" 733543 96541 183077 438750 15176 733543 5106 23721 6034 7793 10940 373558 51822 3050 170747 3151 7011 5 32703 31890 6011
"199504" 733987 91932 185057 440884 16114 733987 5325 24018 5937 7725 9370 377293 52135 2816 165877 3182 7012 5 35819 31829 5644
"199601" 741420 95581 184945 443840 17054 741420 5483 26492 5828 7785 9981 379803 52107 2571 165514 3212 7007 5 37983 32495 5154
"199602" 750951 93224 191641 447718 18368 750951 5641 27198 5675 7703 9773 385202 52469 2567 165172 3242 7008 5 39873 34608 4815
"199603" 751470 94413 188413 448708 19937 751470 5799 28098 5624 7501 9265 389087 52567 2539 162215 3275 7008 4 40549 33469 4470
"199604" 763598 96610 192597 453013 21378 763598 5957 29098 5565 7540 8494 397452 52723 2394 160315 3324 7008 0 46519 32563 4646
"199701" 771144 94077 196706 456202 24158 771144 6114 34098 5375 7672 8399 399646 52007 2480 159699 3380 7007 0 48054 32113 5100
"199702" 787977 90889 205974 464241 26874 787977 6272 39098 5301 7850 8307 407112 52132 2370 159613 3435 7004 0 51401 32440 5642
"199703" 804690 102425 207077 467195 27993 804690 6428 44098 5197 7743 8198 417891 51187 2366 157368 3500 7003 0 55301 32408 6002
"199704" 825632 95149 222830 476286 31367 825632 6586 49098 5117 7692 7837 423148 51252 2230 158779 3374 7000 0 65384 31285 6850
"199801" 839586 96329 216611 493756 32891 839586 6802 46634 5627 7700 7876 427280 50592 2203 158493 3372 7470 0 76404 31162 7971
"199802" 858714 98087 211581 512829 36216 858714 7017 44151 6138 7650 7861 431062 51053 2160 159456 3375 8272 0 91324 30691 8504
"199803" 880630 104196 203899 529682 42853 880630 7233 41629 6648 9848 7877 443335 51388 1903 159189 3378 8599 0 96948 33346 9309
"199804" 916281 105617 220343 542346 47975 916281 7448 39107 7157 10189 7938 456323 53002 1954 164004 3174 8964 0 112847 34803 9371
"199901" 940776 109147 224795 555488 51346 940776 7653 34357 7150 10278 7972 467058 54611 1908 168795 3389 9117 0 122378 36064 10046
"199902" 964066 108835 239513 566426 49293 964066 7859 29607 6991 10311 8065 480212 56275 1937 173495 3605 9587 0 128499 37632 9991
"199903" 1021673 112382 279080 579350 50862 1021673 8064 24857 6830 10338 41173 496406 58072 1989 174571 3820 9542 0 136896 39247 9868
"199904" 1053000 113720 292664 582352 64264 1053000 8270 20107 6670 10544 41453 516333 60063 1921 179048 4034 10275 0 143388 40946 9948
"200001" 1079706 115931 297595 600554 65626 1079706 8700 20392 6627 10575 40572 537499 62641 2549 178156 3976 9741 0 147964 40613 9701
"200002" 1109434 120762 303602 618432 66638 1109434 9129 20677 6582 10515 40600 556233 63975 1848 180856 3801 9837 0 154630 41157 9594
"200003" 1131463 126869 304230 634934 65430 1131463 9557 20962 6539 10527 40718 569588 65621 1676 182646 3534 8629 0 160372 42310 8784
"200004" 1159602 127460 311192 655023 65927 1159602 9986 21247 6494 10443 41099 582577 66965 1634 183757 3135 8757 0 172111 43426 7971
"200101" 1179636 137210 315224 661248 65955 1179636 9819 21622 6722 10396 41279 596033 69767 1642 183078 2588 8590 0 176860 43597 7643
"200102" 1205536 143034 324175 670265 68063 1205536 9652 21993 6948 10487 41277 609750 71664 1674 184713 3074 8026 0 186113 43158 7007
"200103" 1237809 141228 349269 680815 66497 1237809 9485 22368 7175 10316 40487 629624 72977 1706 186469 3465 8164 0 195583 43053 6937
"200104" 1269402 149150 359393 694222 66637 1269402 9317 22743 7403 10377 40973 645619 72534 1877 188376 3701 8116 0 209103 41395 7868
"200201" 1286726 153805 356736 708384 67801 1286726 9959 22983 7359 10257 41138 659150 75142 1879 188699 4713 8078 0 212664 37418 7287
"200202" 1313840 160034 361199 718989 73619 1313840 10169 23226 7317 10129 41202 674850 76791 1896 190050 5067 7979 0 218562 39013 7589
"200203" 1337437 174951 358573 729417 74496 1337437 10351 23471 7276 9950 41447 689303 79022 1899 190698 5403 7115 0 224774 38882 7846
"200204" 1369595 175944 387528 729982 76142 1369595 10600 23716 7232 9950 42131 703966 80730 1979 195040 5662 7174 0 234190 39159 8066
"200301" 1391322 175137 399779 741209 75197 1391322 10769 23956 7239 9943 40169 719043 82676 1984 196492 5892 7241 0 238686 39279 7953
"200302" 1425494 175507 414155 759147 76686 1425494 11033 24196 7247 10250 40382 732605 84268 1925 199807 6009 7750 0 252097 39687 8238
"200303" 1461208 180817 422918 777352 80121 1461208 11309 24436 7256 10347 40176 751791 86380 1917 202253 6212 7294 0 261786 41086 8965
"200304" 1496790 161439 457635 793186 84530 1496790 11585 24676 7263 10630 40544 762583 89162 2081 203946 6441 6935 0 276639 44229 10076
"200401" 1533111 165182 476529 802712 88688 1533111 11869 24916 7571 10796 42500 784658 91771 2140 204889 6536 6478 0 283437 43849 11701
"200402" 1572215 170073 483457 824826 93859 1572215 12172 25156 7878 10864 41199 806805 92922 2218 206433 6508 6036 0 298791 42754 12479
