"DATES" "FL893065105.Q" "FL153165105.Q" "FL103165105.Q" "FL113165105.Q" "FL893065105.Q" "FL153065103.Q" "FL103065105.Q" "FL113065103.Q" "FL213065103.Q" "FL313065105.Q" "FL763065105.Q" "FL443065105.Q" "FL473065105.Q" "FL543065105.Q" "FL573065103.Q" "FL223065103.Q" "FL403065105.Q" "FL413065105.Q" "FL673065105.Q" "FL613065105.Q" "FL643065103.Q" "FL893065125.Q" "FL763065125.Q" "FL443065125.Q" "FL473065125.Q" "FL673065123.Q" "FL613065123.Q"
"197303" 389833 372073 3552 14208 389833 19647 0 1008 2306 4557 65484 227109 1369 20742 864 3080 21840 12922 0 7246 1659 " NA" " NA" " NA" " NA" " NA" 1367
"197304" 399776 382154 3524 14098 399776 19616 0 975 2642 4211 67998 231222 1441 20426 846 3166 22839 13636 0 8878 1880 " NA" " NA" " NA" " NA" " NA" 1450
"197401" 407850 389799 3610 14441 407850 20224 0 974 2791 4005 69374 235126 1476 20104 840 3205 23056 15269 0 9384 2022 " NA" " NA" " NA" " NA" " NA" 1534
"197402" 418787 400388 3680 14719 418787 20740 0 970 2915 4494 72253 240326 1471 19583 829 3165 24865 15799 0 9364 2013 " NA" " NA" " NA" " NA" " NA" 1617
"197403" 428803 411325 3496 13982 428803 22372 0 959 3012 4551 73987 244707 1470 19232 825 3173 26980 17152 0 8626 1757 " NA" " NA" " NA" " NA" " NA" 1701
"197404" 435114 419277 3167 12670 435114 22649 0 942 3385 5617 74758 246956 1513 19026 819 3237 28441 18038 0 8025 1708 " NA" " NA" " NA" " NA" " NA" 1785
"197501" 439891 424253 3128 12510 439891 17131 5707 903 3704 5513 74696 249406 1605 18750 751 3154 28444 20820 0 7845 1462 " NA" " NA" " NA" " NA" " NA" 1869
"197502" 450774 434523 3250 13001 450774 18075 5708 880 3845 6701 75356 255600 1744 18365 723 3129 29027 22351 0 8051 1219 " NA" " NA" " NA" " NA" " NA" 1946
"197503" 462722 446270 3290 13162 462722 18864 5705 895 3961 8114 76149 262331 1887 17955 700 3114 30197 23486 0 8426 938 " NA" " NA" " NA" " NA" " NA" 2325
"197504" 473944 459028 2983 11933 473944 19005 5731 945 4154 9667 77018 268800 1993 17590 679 2867 30934 25339 0 8482 740 " NA" " NA" " NA" " NA" " NA" 2693
"197601" 486150 469939 3242 12969 486150 20162 5176 996 4212 10098 78870 275629 2119 17160 679 2847 31064 27700 0 8737 701 " NA" " NA" " NA" " NA" " NA" 2789
"197602" 500987 483932 3411 13644 500987 20805 4991 1064 4513 8869 81178 285902 2251 16855 664 2836 30856 30627 0 8920 656 " NA" " NA" " NA" " NA" " NA" 2853
"197603" 518728 501065 3533 14130 518728 21341 4863 1170 4695 9012 83857 297112 2381 16448 649 2805 31540 33513 0 8735 607 " NA" " NA" " NA" " NA" " NA" 2913
"197604" 534962 517013 3590 14359 534962 21320 4785 1310 4970 8927 86177 307043 2500 16088 623 2844 31430 37257 0 9135 553 " NA" " NA" " NA" " NA" " NA" 2913
"197701" 550224 531252 3794 15178 550224 21776 5167 1362 4972 8868 88633 315972 2590 15709 596 2789 30656 41753 0 8857 524 " NA" " NA" " NA" " NA" " NA" 3240
"197702" 575786 554039 4349 17398 575786 22274 5491 1434 4746 9592 94834 330284 2656 15434 600 2841 31467 44402 0 9237 494 " NA" " NA" " NA" " NA" " NA" 3561
"197703" 603145 579859 4657 18629 603145 22563 5758 1554 4908 10439 100422 345019 2721 15038 574 2834 31652 48830 0 10370 463 " NA" " NA" " NA" " NA" " NA" 3825
"197704" 627680 602953 4945 19782 627680 22293 6040 1716 5173 11386 105079 358842 2800 14740 611 2913 31918 52988 0 10750 431 " NA" " NA" " NA" " NA" " NA" 4175
"197801" 646034 620976 5012 20046 646034 23113 6233 1899 5607 10818 108241 368773 2915 14417 676 2926 33566 55350 0 11082 418 " NA" " NA" " NA" " NA" " NA" 4651
"197802" 674494 647990 5301 21203 674494 24846 6341 2094 5978 11665 113674 382804 3052 14217 717 2928 35564 57993 0 12215 406 " NA" " NA" " NA" " NA" " NA" 5252
"197803" 707322 678914 5682 22726 707322 26887 6388 2321 6622 12656 121824 396173 2702 14158 791 2984 38282 61032 0 14113 389 " NA" " NA" " NA" " NA" " NA" 5914
"197804" 738206 708593 5923 23690 738206 27834 6462 2575 7159 13273 129099 408653 2512 14436 853 2802 40942 65354 0 15871 381 " NA" " NA" " NA" " NA" " NA" 6645
"197901" 762825 733557 5854 23414 762825 29402 6798 2800 7991 14012 132724 417158 2641 14495 916 2826 44367 70268 0 16064 363 " NA" " NA" " NA" " NA" " NA" 7168
"197902" 794820 763372 6290 25158 794820 31662 7091 3006 8938 14679 138533 430278 2632 14469 902 2868 46341 74795 0 18281 345 " NA" " NA" " NA" " NA" " NA" 7641
"197903" 828811 795888 6585 26338 828811 33892 7414 3166 10194 15240 144780 442174 2499 14850 1021 2967 47778 81301 0 21207 328 " NA" " NA" " NA" " NA" " NA" 8374
"197904" 855730 826675 5811 23244 855730 34075 7684 3290 11835 15592 148882 450903 3102 16144 1179 3091 50128 88429 0 21086 310 " NA" " NA" " NA" " NA" " NA" 9133
"198001" 886053 856188 5773 24092 886053 42475 9245 3173 13516 16546 150875 456337 4477 17143 1218 3228 53327 93521 0 20666 306 " NA" " NA" " NA" " NA" " NA" 9799
"198002" 902249 873920 5466 22863 902249 43599 11105 3141 15466 17174 152073 459379 4732 17804 1287 3355 54775 97347 0 20711 301 " NA" " NA" " NA" " NA" " NA" 10451
"198003" 931500 901344 5631 24525 931500 47810 13077 3319 17719 17623 154771 468772 4432 17990 1347 3448 55536 102880 0 22480 296 " NA" " NA" " NA" " NA" " NA" 10690
"198004" 957872 926486 5877 25509 957872 48602 15080 3666 19744 18301 158960 478485 4645 17943 1413 3529 57758 107126 0 22329 291 " NA" " NA" " NA" " NA" " NA" 11318
"198101" 973089 940550 5908 26631 973089 50936 14928 4208 21753 18979 159603 483538 4505 17799 1482 3632 58050 110264 0 23120 292 " NA" " NA" " NA" " NA" " NA" 12243
"198102" 996887 964104 5957 26826 996887 57594 13400 4815 23446 19539 162999 490883 4136 17549 1497 3687 58624 113866 0 24560 292 " NA" " NA" " NA" " NA" " NA" 13101
"198103" 1014541 981819 5744 26978 1014541 62384 11392 5584 24570 20219 165389 494954 3828 17376 1503 3748 61015 117244 0 25042 293 " NA" " NA" " NA" " NA" " NA" 13114
"198104" 1030173 998221 5590 26362 1030173 65702 9148 6483 25566 20690 167684 494944 3686 17201 1495 3837 63990 125010 0 24444 293 " NA" " NA" " NA" " NA" " NA" 13265
"198201" 1041556 1007880 5535 28141 1041556 72223 5075 7108 26163 21014 169070 490348 3125 17094 2415 3866 65298 133734 0 24733 290 " NA" " NA" " NA" " NA" " NA" 13504
"198202" 1055015 1019231 5557 30227 1055015 74598 6336 7682 26727 21411 170443 484718 3082 16467 2694 3918 67837 142967 0 25848 287 " NA" " NA" " NA" " NA" " NA" 14135
"198203" 1055286 1017708 5716 31862 1055286 70572 5559 8132 27577 21872 170287 470177 3099 16874 3085 3916 71692 156168 0 25992 284 " NA" " NA" " NA" " NA" " NA" 14257
"198204" 1070159 1031147 5802 33210 1070159 77087 3760 8480 28557 22143 170485 456447 2686 16751 3282 3906 74316 174349 0 27630 280 " NA" " NA" " NA" " NA" " NA" 14203
"198301" 1087111 1026230 5976 54905 1087111 74195 4086 8741 29721 21976 169363 455781 2765 16422 2746 3950 76228 191975 0 28895 267 " NA" " NA" " NA" " NA" " NA" 14303
"198302" 1116269 1053724 6109 56436 1116269 74561 3847 9053 30940 22388 171274 460658 3535 15860 2989 3904 78617 208340 0 30049 254 " NA" " NA" " NA" " NA" " NA" 14535
"198303" 1153394 1087478 6583 59333 1153394 72351 5724 9492 32063 22765 175550 472855 4051 15534 2863 3899 79822 226385 0 29799 241 " NA" " NA" " NA" " NA" " NA" 14736
"198304" 1186114 1116227 7177 62710 1186114 71848 5885 10032 33712 22891 179150 483384 4381 15319 2797 3899 83685 239439 0 29464 228 " NA" " NA" " NA" " NA" " NA" 15184
"198401" 1215847 1143886 7392 64569 1215847 72613 4935 10944 35098 22954 181421 492022 5538 14900 3425 3891 87569 250431 0 29872 234 " NA" " NA" " NA" " NA" " NA" 14807
"198402" 1254143 1177372 8354 68417 1254143 74714 3911 11817 36425 22964 186342 510591 6398 14404 3305 3869 89128 257762 0 32273 240 " NA" " NA" " NA" " NA" " NA" 15337
"198403" 1288719 1211109 8322 69288 1288719 78158 1856 12593 37547 22678 190016 525210 7020 14159 3559 3845 90598 269261 0 31974 245 " NA" " NA" " NA" " NA" " NA" 16329
"198404" 1321062 1242830 8446 69786 1321062 68107 1392 13294 39157 23513 193816 531139 7534 14120 3737 3842 94426 282953 11000 32786 246 " NA" " NA" " NA" " NA" " NA" 17127
"198501" 1385120 1304441 8736 71943 1385120 91582 7550 13707 40634 23717 196219 535101 7788 14041 4040 3835 99584 297096 19153 30821 252 " NA" " NA" " NA" " NA" " NA" 17466
"198502" 1427438 1342664 9355 75419 1427438 94379 7432 14012 41994 23767 200907 541905 8821 14219 3805 3801 102889 313763 20969 34512 263 " NA" " NA" " NA" " NA" " NA" 18410
"198503" 1476432 1401415 7203 67814 1476432 91452 8257 14050 43552 24155 206606 553002 10041 14435 3626 3766 104812 335965 21561 40879 273 " NA" " NA" " NA" " NA" " NA" 18618
"198504" 1526188 1449561 7325 69302 1526188 91590 9520 13875 45042 24403 212457 561668 11086 13637 4466 3741 111639 360508 24016 38218 322 " NA" " NA" " NA" " NA" " NA" 19726
"198601" 1556921 1476207 6995 73719 1556921 92904 10846 13375 46845 24241 215285 556959 13622 13883 4388 3647 111517 385169 25472 38433 335 " NA" " NA" " NA" " NA" " NA" 20537
"198602" 1615690 1525219 7397 83074 1615690 94221 10251 14275 47986 23753 220605 562302 15128 13803 4337 3506 108912 419545 27637 49082 347 " NA" " NA" " NA" " NA" " NA" 21006
"198603" 1682917 1587390 7621 87906 1682917 92555 10728 14975 48637 23508 227293 566949 17255 14448 4132 3344 107951 465354 30032 55404 352 " NA" " NA" " NA" " NA" " NA" 21699
"198604" 1729444 1648339 7332 73773 1729444 91921 13025 14093 48963 24058 233682 568276 19325 14128 3981 3173 105943 519520 16617 52421 318 " NA" " NA" " NA" " NA" " NA" 22915
"198701" 1769685 1680759 8307 80619 1769685 99248 16421 13381 49147 23883 240888 550483 22046 13996 2316 3253 103920 561534 18500 50338 331 " NA" " NA" " NA" " NA" " NA" 24146
"198702" 1843183 1751936 8052 83195 1843183 102131 17382 12247 48816 23733 251336 567588 24928 13975 1857 3160 101270 600095 21444 52889 332 " NA" " NA" " NA" " NA" " NA" 25113
"198703" 1897901 1802170 8365 87366 1897901 101700 20645 11466 49100 20588 260429 581183 27623 13961 1611 3354 102506 631037 27262 45111 325 " NA" " NA" " NA" " NA" " NA" 26299
"198704" 1927700 1827851 8464 91385 1927700 103282 19845 11827 50127 20750 270879 573181 29872 14522 1407 3456 102840 652892 27800 44671 349 " NA" " NA" " NA" " NA" " NA" 27004
"198801" 1974163 1874842 8254 91067 1974163 104081 16976 9641 51066 20818 286989 596323 31520 11506 1625 3562 106069 660006 29241 44376 364 " NA" " NA" " NA" " NA" " NA" 27956
"198802" 2044276 1941422 8829 94025 2044276 105205 12793 21201 51251 20836 302396 606725 34063 11667 1913 3587 108749 676706 30749 56069 366 " NA" " NA" " NA" " NA" " NA" 28808
"198803" 2105234 1998908 9401 96925 2105234 106632 17574 17519 51251 20751 316166 628275 36377 11805 2293 3414 108159 701023 32782 50820 393 " NA" " NA" " NA" " NA" " NA" 28896
"198804" 2162113 2054156 9606 98351 2162113 108384 18823 17607 52613 21045 325289 641649 38060 12528 2836 3384 109044 723602 34865 51950 434 " NA" " NA" " NA" " NA" " NA" 29328
