"DATES" "FL793120005.Q" "FL713120005.Q" "FL713123005.Q" "FL713124003.Q" "FL713122605.Q" "FL713125005.Q" "FL763127005.Q" "FL723123005.Q" "FL763122605.Q" "FL763129205.Q" "FL443127005.Q" "FL473127003.Q" "FL793120005.Q" "FL153020005.Q" "FL143020005.Q" "FL103020003.Q" "FL113020003.Q" "FL133020003.Q" "FL213020005.Q" "FL313020005.Q" "FL263020005.Q" "FL263027003.Q" "FL263025003.Q" "FL793020005.Q" "FL743020003.Q" "FL443020005.Q" "FL473020005.Q" "FL513020003.Q" "FL543020003.Q" "FL573020005.Q" "FL223020003.Q" "FL633020000.Q" "FL403020005.Q" "FL613020003.Q" "FL643020003.Q" "FL663020003.Q" "FL903020005.Q"
"197103" 243171 53601 2496 0 373 50732 189075 8920 5799 174356 454 41 243171 123260 59851 40734 12515 6602 11180 11915 12238 6172 6066 11462 507 1751 884 1494 1507 1242 450 0 381 2159 0 1087 13265
"197104" 262871 56470 2484 0 465 53521 205896 10169 6038 189689 462 43 262871 128299 61747 42581 12515 6651 12114 13228 12725 6503 6222 12430 514 2326 911 1509 1763 1305 548 0 247 2210 0 1097 22328
"197201" 249984 53938 1330 0 275 52333 195519 8740 6426 180353 482 45 249984 127167 59480 40251 12515 6714 11412 9863 12972 6701 6271 12103 561 2285 928 1521 1164 1413 703 0 167 2260 0 1101 16987
"197202" 258173 58386 2695 0 298 55393 199240 9083 6905 183252 500 47 258173 127260 59555 40246 12515 6794 11839 12103 13643 7203 6440 12673 623 2426 940 1531 1328 1471 747 0 192 2309 0 1106 21100
"197203" 260034 56199 2209 0 229 53761 203275 9470 7574 186231 512 48 260034 131257 62548 43158 12515 6875 11192 11695 14347 7803 6544 13045 676 2505 946 1537 1422 1577 723 0 197 2358 0 1104 15950
"197204" 286955 60440 2200 0 369 57871 225942 10870 7901 207171 523 50 286955 139941 64395 44938 12515 6942 12663 13287 15076 8270 6806 14223 683 2837 939 1540 1981 1790 767 0 199 2406 0 1081 27370
"197301" 271668 60510 3778 0 442 56290 210480 11382 7468 191630 625 53 271668 136769 61645 41062 13580 7003 11255 14865 14805 7910 6895 13593 688 2719 894 1540 1524 1889 612 0 234 2453 0 1040 18736
"197302" 282316 64944 4408 0 437 60099 216646 10423 8410 197813 670 56 282316 139325 62786 41060 14659 7067 12263 15029 15950 8847 7103 13865 694 2868 902 1534 1502 2016 664 0 210 2500 0 975 23098
"197303" 272644 60536 1497 0 500 58539 211371 8203 8520 194648 681 56 272644 139053 65587 42702 15771 7114 10715 9834 16226 9020 7206 13819 832 2503 912 1529 1436 2340 600 0 214 2546 0 907 17410
"197304" 304731 64954 2859 0 300 61795 239015 9862 10865 218288 705 57 304731 147676 70352 46315 16914 7123 12673 12642 18910 11165 7745 15172 969 2946 918 1527 2071 2455 544 0 297 2591 0 854 27306
"197401" 283558 64339 2432 0 419 61488 218431 8607 11104 198720 729 59 283558 143625 66731 42253 17388 7090 11112 10797 19398 11523 7875 14199 850 2703 931 1534 1494 2604 359 0 271 2635 0 818 17696
"197402" 293328 69100 3193 0 445 65462 223409 8364 12208 202837 757 62 293328 142593 67311 42598 17707 7006 13485 12109 20763 12653 8110 14153 730 2644 950 1546 1452 2840 305 0 217 2678 0 791 22914
"197403" 287857 68697 3665 0 704 64328 218311 7377 11769 199165 787 62 287857 145136 70007 45449 17639 6919 11019 11155 20790 12473 8317 14004 675 2207 965 1560 1503 3093 270 0 239 2721 0 771 15746
"197404" 311687 71897 3298 0 523 68076 238891 4804 13468 220619 835 64 311687 152484 71906 47772 17263 6871 12896 8254 22722 13991 8731 15911 787 3160 965 1581 1999 3366 254 0 284 2763 0 752 27514
"197501" 290899 72055 3860 0 602 67593 217863 3945 11574 202344 913 68 290899 139573 76334 52231 17237 6866 11613 8945 21020 12176 8844 15997 795 3502 953 1412 1614 3626 317 0 234 2804 0 740 17417
"197502" 311273 77693 6137 0 454 71102 232509 3110 12663 216736 999 72 311273 149622 78479 54311 17275 6893 12631 11293 22297 13117 9180 16184 803 3381 921 1455 1547 3915 332 25 230 2845 0 730 20767
"197503" 306694 78461 7605 0 306 70550 227071 3175 12458 211438 1088 74 306694 152136 77985 53584 17473 6928 11177 12848 22187 12764 9423 15906 850 3008 894 1527 1295 4183 296 35 204 2885 0 729 14455
"197504" 331096 82606 7768 0 484 74354 247220 3112 13191 230917 1194 76 331096 153269 83016 58272 17800 6944 13351 11153 23606 13675 9931 17667 899 3623 892 1681 1925 4400 275 29 281 2924 0 738 29034
