"DATES" "FL313161505.Q" "FL313161400.Q" "FL313161105.Q" "FL893061505.Q" "FL153061505.Q" "FL313161400.Q" "FL153061105.Q" "FL103061103.Q" "FL113061003.Q" "FL213061105.Q" "FL263061105.Q" "FL713061100.Q" "FL763061105.Q" "FL723061100.Q" "FL753061103.Q" "FL733061103.Q" "FL743061103.Q" "FL443061105.Q" "FL473061105.Q" "FL513061103.Q" "FL543061103.Q" "FL573061105.Q" "FL223061103.Q" "FL343061105.Q" "FL633061100.Q" "FL653061105.Q" "FL553061103.Q" "FL563061103.Q" "FL403061105.Q" "FL673061103.Q" "FL663061105.Q" "FL314104005.Q"
"197301" 338062 58549 279513 338062 80898 58549 22349 5947 1133 25424 62150 73784 61998 61088 352 0 558 8634 641 2734 3824 3725 3687 0 0 481 702 0 935 0 1365 347568
"197302" 331839 59483 272356 331839 81852 59483 22369 4759 1161 25889 59215 74952 58642 57773 396 0 473 7893 690 2674 3572 4011 3460 0 0 562 740 0 337 0 1430 340910
"197303" 330286 59885 270401 330286 87064 59885 27179 1923 1176 26152 57446 75224 55934 54984 429 0 521 6891 740 2738 3466 4711 3028 0 0 682 774 0 448 0 1889 339783
"197304" 336704 60354 276350 336704 88480 60354 28126 2482 1183 26065 54303 78458 59196 58177 449 0 570 6991 777 2837 3444 5379 2508 0 0 660 788 0 1145 0 2008 346330
"197401" 339703 61121 278582 339703 95978 61121 34857 968 1199 26102 53536 77929 58276 57389 442 0 445 6867 798 2765 3596 6109 1840 0 2 859 784 0 1124 0 971 349666
"197402" 333787 61934 271853 333787 90833 61934 28899 1492 1214 25809 56242 80284 52867 51981 465 0 421 6694 802 2560 3349 6912 1886 0 5 495 760 0 756 0 827 343699
"197403" 338265 62525 275740 338265 95248 62525 32723 1981 1226 26258 55537 80353 51366 50550 416 0 400 5763 811 2525 3327 8235 1515 0 20 826 732 0 819 0 1723 347938
"197404" 348829 63338 285491 348829 96253 63338 32915 2613 1238 26523 58270 80058 55135 54286 503 0 346 5881 848 2860 3372 8559 1585 0 112 1109 716 0 1441 0 2256 358219
"197501" 368846 64349 304497 368846 93872 64349 29523 6488 1228 26991 64320 82034 59997 59183 439 0 375 6367 912 3170 3585 9623 1559 0 244 785 710 0 4248 0 2713 377939
"197502" 385698 65430 320268 385698 96690 65430 31260 8123 1226 26734 64710 83949 68885 68064 426 0 395 7139 1004 3509 3712 10516 2215 0 291 949 710 0 3523 0 1813 394700
"197503" 409201 66407 342794 409201 105611 66407 39204 9192 1243 27183 63987 86474 76027 75183 436 0 408 9044 1100 3995 3821 11896 2548 0 596 1493 713 0 3024 0 1254 418177
