"DATES" "FL893190005.Q" "FL543077003.Q" "FL103190005.Q" "FL113190005.Q" "FL313190005.Q" "FL263190005.Q" "FL713190005.Q" "FL763190005.Q" "FL443190005.Q" "FL473193005.Q" "FL513190005.Q" "FL543190005.Q" "FL403190005.Q" "FL613190005.Q" "FL643193005.Q" "FL663190005.Q" "FL503190005.Q" "FL893090005.Q" "FL153090005.Q" "FL103090005.Q" "FL113090003.Q" "FL133090005.Q" "FL213093005.Q" "FL313090005.Q" "FL263090005.Q" "FL713090005.Q" "FL763090005.Q" "FL443090005.Q" "FL473090005.Q" "FL513092003.Q" "FL543090005.Q" "FL573090005.Q" "FL223093003.Q" "FL343150005.Q" "FL633093005.Q" "FL653093003.Q" "FL403093005.Q" "FL613090005.Q" "FL643093005.Q" "FL663090005.Q" "FL503094505.Q" "FL903090005.Q"
"197101" 251824 5206 14710 9626 28040 80314 1755 25656 11086 710 35775 22866 7560 6713 0 589 1218 254038 29178 110166 7869 4403 0 5700 8222 964 18929 11129 -377 845 9375 10986 0 27726 0 0 1485 7377 61 0 0 -2214
"197102" 254242 5282 14592 10034 29894 80985 1716 22610 12883 693 36613 23444 6199 7617 0 584 1096 261486 29803 112310 9063 4539 0 5670 8666 990 18647 11347 -395 904 9611 11270 0 29583 0 0 1636 7825 17 0 0 -7244
"197103" 265769 5356 14634 10723 30125 81488 1519 29455 13687 676 37495 23838 5930 9247 0 570 1027 270916 30427 116229 10262 4669 0 5771 7482 971 22115 11357 -405 966 9847 11569 0 29814 0 0 1861 7877 104 0 0 -5147
"197104" 275148 5436 14433 11778 30682 88633 2057 29217 13372 660 38571 24465 5976 7974 0 591 1302 282592 31077 123788 11476 4839 0 5816 7398 1051 22036 11961 -422 1033 10069 11892 0 30371 0 0 1681 8359 167 0 0 -7444
"197201" 291108 5556 14581 12703 30601 93142 1782 34583 14383 642 39677 24965 6462 9863 66 756 1346 294199 31768 128743 12709 4986 0 5745 7704 880 24428 11735 -443 1105 10315 13265 0 30289 0 0 1719 8616 635 0 0 -3091
"197202" 303449 5701 14214 12993 32735 96099 2078 36615 15805 625 40895 25958 6282 11102 200 924 1222 308787 32475 131654 14165 5164 0 5802 9110 972 26232 12527 -462 1182 10572 15362 0 32423 0 0 1728 8968 913 0 0 -5338
"197203" 310308 5849 14059 13502 33005 93672 1993 41293 16773 608 42157 26603 6329 11728 293 1104 1341 321351 33213 134198 15622 5319 0 5835 8385 961 31010 12864 -472 1264 10830 17535 0 32693 0 0 1751 9179 1164 0 0 -11043
"197204" 320708 5976 13779 14483 33676 97966 2068 44636 16317 591 43497 27111 6380 11423 310 1322 1173 352015 33999 155852 17070 5513 0 5920 8197 1068 33700 13839 -492 1352 11076 19167 0 33364 0 0 1362 9734 1294 0 0 -31307
"197301" 328258 6087 14724 15477 33494 94138 2181 48317 17785 604 44694 27813 7056 12678 346 1218 1646 369080 34753 160995 19073 5665 0 6027 10841 945 38160 13691 -517 1446 11312 20340 0 33182 0 0 1664 9739 1764 0 0 -40822
"197302" 348264 6185 15947 15649 35809 105390 2146 49230 18756 619 45888 28585 6986 13800 347 1127 1801 383634 35523 164378 19782 5838 0 6133 13054 1131 40662 14427 -542 1546 11540 21135 0 35497 0 0 1711 10311 1508 0 0 -35370
"197303" 358222 6278 16514 16307 35505 105754 2530 54384 19140 636 47085 28972 7530 14184 358 1066 1979 395968 36294 167051 20436 6004 0 6104 15587 991 46622 13710 -544 1653 11764 21846 0 35193 0 0 2309 10067 881 0 0 -37746
"197304" 364624 6376 17410 17885 35811 108572 3343 52866 16520 655 48428 29607 8534 15472 425 1049 1671 381857 37058 180501 20882 6156 0 6871 -13442 1362 44439 12362 -556 1768 11993 22764 0 35499 0 0 2349 11197 654 0 0 -17233
"197401" 373878 6530 19689 19000 35113 108317 2554 56117 17022 735 49570 30059 8676 17122 618 999 1757 388121 37797 181445 21142 6307 0 7166 -13874 1023 47555 12770 -579 1891 12300 23806 0 35113 0 0 2108 11755 396 0 0 -14243
