"DATES" "FL894104005.Q" "FL893111005.Q" "FL713014003.Q" "FL313112003.Q" "FL263191003.Q" "FL774110005.Q" "FL793120005.Q" "FL793131005.Q" "FL793135005.Q" "FL634000005.Q" "FL792150005.Q" "FL654090005.Q" "FL893167005.Q" "FL153040005.Q" "FL153050005.Q" "FL893170005.Q" "FL893178005.Q" "FL893190005.Q" "FL894190005.Q" "FL883011203.Q" "FL893064105.Q" "FL152090205.Q" "FL903012005.Q" "FL903091005.Q" "FL904010005.Q" "FL902050005.Q" "FL903078005.Q" "FL903090005.Q" "FL903028003.Q" "FL903023005.Q" "FL903029200.Q" "FL903070005.Q" "FL894090005.Q"
"197103" 1698278 3508 400 5911 1239 45391 243171 465851 64470 0 5326 52214 24572 135417 282431 210370 15348 265769 3519666 10207 911074 688208 -1636 0 2534 -2703 8791 -5147 4375 -499 9389 -27577 5141628
"197104" 1750655 3779 400 6046 1234 47564 262871 481319 68591 0 5007 55446 28722 137055 293492 220192 16566 275148 3654086 10206 974871 702258 -1581 0 2007 -854 9633 -7444 5003 -575 17900 -19913 5337245
"197201" 1781202 5254 400 6219 1421 45803 249984 505099 69771 0 9031 57548 30040 138724 308275 219724 18458 291108 3738061 9662 1034722 726007 -1676 0 366 -25 10476 -3091 5027 207 11753 -27342 5512757
"197202" 1822303 5340 400 6372 1626 45156 258173 519938 75837 0 9111 56656 32683 140430 319267 223439 16082 303449 3836262 10490 1033232 738168 -1694 0 1828 -865 7561 -5338 5101 -325 16324 -30023 5625583
"197203" 1863993 5221 400 6483 1820 45102 260034 534569 81894 0 9290 56209 33988 142166 331095 233713 18348 310308 3934633 10487 1058729 757069 -1717 0 -741 -1945 9591 -11043 5133 -16 10833 -28616 5779439
"197204" 1935097 5155 400 6579 2172 44602 286955 550998 87380 0 6702 58926 37444 143930 349329 248611 20460 320708 4105447 10487 1203281 782941 -1734 0 -2435 -903 11259 -31307 5158 -217 22429 -21299 6121205
"197301" 1990433 5428 400 6667 2722 42954 271668 570053 100228 0 13782 52843 31769 145734 349273 253680 23530 328258 4189422 10487 1117824 808212 -1753 0 -764 -1472 12856 -40822 5191 295 13250 -27601 6166765
"197302" 2053672 5411 400 6860 3005 38998 282316 582582 107357 0 17143 48013 29545 147589 349081 269489 21365 348264 4311090 10487 1033342 840953 -1671 0 -2241 1368 10118 -35370 5239 -198 18057 -25012 6225582
"197303" 2110503 5424 400 6924 2729 51592 272644 577997 126780 0 23322 51927 27530 149452 366497 283073 23799 358222 4438814 10487 1104063 884097 -1690 0 522 2006 12271 -37746 5322 -134 12222 -26047 6470735
"197304" 2172701 5493 400 7001 3329 41879 304731 590352 126442 0 23141 46635 29499 151278 358451 306260 25898 364624 4558113 11652 938338 917738 -1715 0 -1823 -161 13988 -17233 5446 79 21781 -10516 6415995
