"DATES" "FL654090005.Q" "FL652050003.Q" "FL654004005.Q" "FL653069100.Q" "FL653061105.Q" "FL653061703.Q" "FL653062003.Q" "FL653063005.Q" "FL653069803.Q" "FL653064100.Q" "FL653093003.Q" "FL654090005.Q"
"199202" 876790 23515 498527 23515 104268 115823 148722 106199 0 352223 2525 876790
"199203" 915815 26781 535291 26781 105990 128820 159511 114189 0 351272 2471 915815
"199204" 992537 21899 566375 21899 110430 146969 168394 118683 0 401256 3007 992537
"199301" 1080846 29014 606684 29014 113082 149293 182487 132808 0 441510 3638 1080846
"199302" 1172808 30383 646958 30383 119351 156296 194928 146000 0 493826 1641 1172808
"199303" 1278067 31473 691061 31473 130917 170043 201700 156928 0 553952 1581 1278067
"199304" 1375386 38698 725915 38698 134006 172635 211289 169287 0 607439 3334 1375386
"199401" 1414213 45438 733780 45438 131384 168680 212128 176150 0 631782 3213 1414213
"199402" 1445412 46744 747779 46744 132815 169932 220328 177960 0 648317 2572 1445412
"199403" 1515754 52893 741827 52893 129893 165615 216711 176715 0 716382 4652 1515754
"199404" 1477349 43138 718790 43138 130461 165762 206987 172442 0 709550 5871 1477349
"199501" 1553285 44059 719315 44059 131764 164757 206083 172652 0 784267 5644 1553285
"199502" 1661009 42584 724845 42584 133027 163670 205439 180125 0 886247 7333 1661009
"199503" 1782014 43098 739190 43098 137052 165894 206132 187014 0 991705 8021 1782014
"199504" 1852752 50234 771251 50234 143835 171293 210188 185531 10170 1024932 6335 1852752
"199601" 1996986 46409 795919 49409 143944 184936 212127 195134 10369 1149604 5054 1996986
"199602" 2129932 49810 809026 49810 138653 192319 212630 205046 10568 1263009 8087 2129932
"199603" 2211611 56144 818343 56144 131611 197442 212958 209421 10767 1334077 3047 2211611
"199604" 2342369 47512 820169 47152 125824 204414 213310 218503 10966 1470007 4681 2342369
"199701" 2410631 53296 838544 53296 128603 206974 214231 223616 11824 1513437 5354 2410631
"199702" 2717543 58687 861255 58687 131150 209081 215095 234560 12682 1790588 7013 2717543
"199703" 2973616 59404 890426 59404 136134 214961 217986 248400 13541 2015836 7950 2973616
"199704" 2989385 57801 901089 57801 136383 213309 219760 259437 14399 2018682 11813 2989385
"199801" 3339314 51271 939956 51916 141816 225289 224581 281389 14965 2340041 8046 3339314
"199802" 3438423 66922 979083 66922 140193 226258 231195 298641 15874 2387468 4950 3438423
"199803" 3137280 80276 1005879 80276 140475 230378 234068 304223 16459 2044521 6604 3137280
"199804" 3613143 70912 1028381 70912 140952 234911 242576 321966 17064 2506188 7662 3613143
"199901" 3759243 73026 1053863 73026 137281 247251 247358 331494 17453 2618992 13362 3759243
"199902" 4044234 75607 1087301 75607 135562 264553 250014 343076 18489 2875939 5387 4044234
"199903" 3932396 74871 1086026 74871 126893 269142 247546 348259 19315 2766488 5011 3932396
"199904" 4538494 80837 1076779 80837 117289 271073 239400 348246 19934 3376728 4150 4538494
"200001" 4824055 82619 1058437 82619 115617 264706 232001 342312 21182 3680075 2924 4824055
"200002" 4718300 95505 1073616 95505 119330 270656 227558 338141 22426 3546550 2629 4718300
"200003" 4780828 102292 1090051 102292 122106 274349 228301 339606 23397 3584967 3518 4780828
"200004" 4433065 99620 1103083 99620 127442 283655 230431 337677 24258 3226855 3507 4433065
"200101" 3987136 83282 1120733 83282 122172 302645 235858 354712 22064 2781817 1304 3987136
"200102" 4257992 81385 1165696 77736 120588 334599 239910 373447 19416 3009882 1029 4257992
"200103" 3753210 76206 1191799 76206 113585 355766 245420 382830 17992 2484167 1038 3753210
"200104" 4135365 70744 1229705 70744 117600 368340 252991 403077 16953 2834005 911 4135365
"200201" 4244779 83393 1280692 79251 121624 380945 257517 424297 17058 2879422 1272 4244779
"200202" 3925081 78198 1295914 59866 123761 387636 265312 442154 17185 2549659 1310 3925081
"200203" 3450716 74671 1336480 56177 130362 408311 275424 448934 17272 2038401 1164 3450716
"200204" 3638375 81607 1368445 63076 134846 422357 277264 453437 17465 2187374 949 3638375
"200301" 3588246 81535 1416005 62976 142911 435222 282815 474866 17215 2089030 1676 3588246
"200302" 4072412 82570 1481432 64199 152244 452061 292327 503629 16972 2506659 1751 4072412
"200303" 4244497 84028 1478749 65715 147088 444176 289859 515174 16737 2678574 3146 4244497
"200304" 4654181 94475 1506428 76213 144195 447513 290199 531953 16355 3051320 1958 4654181
"200401" 4912118 90109 1559077 71933 149021 462628 300496 557159 17840 3257518 5414 4912118
"200402" 4966333 90635 1559077 72473 149416 463865 289985 562650 20688 3312445 4176 4966333
"200403" 4983326 105111 1586935 86697 147741 458619 292607 578098 23173 3286131 5149 4983326
"200404" 5436259 112599 1623014 94221 149034 462671 294305 596808 25975 3693633 7013 5436259
"200501" 5471613 124106 1669320 105561 151523 470470 301033 612510 28223 3669922 8265 5471613
"200502" 5595743 119802 1697345 101361 152499 473527 305653 633377 30928 3770557 8039 5595743
"200503" 5874407 115183 1719573 96878 152061 472156 312650 652722 33106 4029819 9832 5874407
"200504" 6048853 115404 1747072 97136 155658 483423 311659 662676 36520 4175670 10707 6048853
"200601" 6463849 127091 1805406 108748 157271 488476 321539 691020 38352 4516960 14392 6463849
"200602" 6419311 133745 1839469 115299 157512 489230 328100 708520 40808 4432549 13548 6419311
"200603" 6627904 138996 1874014 120550 157126 488023 333071 732578 42666 4599445 15449 6627904
"200604" 7068292 132772 1931997 114524 160668 499115 344385 766984 46321 4989564 13959 7068292
"200701" 7328692 125790 2005424 107669 166176 516366 358884 799181 57148 5181104 16374 7328692
"200702" 7805235 128641 2093454 110580 171492 533017 370072 839633 68660 5566357 16783 7805235
"200703" 7989334 128641 2141606 110637 172320 543875 371322 867683 75769 5701308 17779 7989334
"200704" 7828984 132178 2203139 114093 179178 565354 372183 889942 82389 5476896 16771 7828984
"200801" 7336357 135960 2256723 117678 182674 576306 380136 914361 85568 4923575 20099 7336357
"200802" 7412256 149612 2356558 131165 188309 593957 393371 961591 88165 4888776 17310 7412256
"200803" 6614282 144130 2340871 89034 191336 603440 399099 963606 94356 4110348 18933 6614282
"200804" 5435286 124730 2276447 51588 187905 592694 389587 959881 94792 3014128 19981 5435286
"200901" 5107780 103561 2319887 31772 193043 588129 406772 1004794 95377 2668290 16042 5107780
"200902" 5856859 121613 2435950 49283 202241 616941 430724 1040935 95826 3282037 17259 5856859
"200903" 6625356 136359 2539984 63921 214622 635058 459026 1071178 96179 3930013 19000 6625356
"200904" 6961579 153295 2657175 80192 255499 639126 480171 1106086 96101 4136233 14876 6961579
"201001" 7295032 150059 2784855 77418 269921 684300 501480 1155733 96003 4351832 8286 7295032
"201002" 6764196 127551 2834294 55854 278341 710672 514199 1179410 95818 3799518 2833 6764196
"201003" 7376226 138778 2967742 66924 292665 755539 532750 1224246 95618 4266883 2823 7376226
