"DATES" "FL893111005.Q" "FL313111303.Q" "FL263111005.Q" "FL313011303.Q" "FL263111403.Q" "FL263111503.Q" "FL893011005.Q" "FL313011005.Q" "FL313011205.Q" "FL313011303.Q" "FL313011405.Q" "FL313011505.Q" "FL313111303.Q" "FL713011005.Q" "FL713011203.Q" "FL713011405.Q" "FL713011505.Q" "FL903011005.Q"
"199402" 71776 7096 64680 9731 12184 42765 82828 42371 0 9731 12283 20357 7096 33361 11052 -99 22408 -11052
"199403" 72667 7189 65478 9971 12067 43440 83721 42379 0 9971 12165 20243 7189 34153 11054 -98 23197 -11054
"199404" 70437 7153 63284 10039 12030 41215 81488 41351 0 10039 12128 19184 7153 32984 11051 -98 22031 -11051
"199501" 83354 7646 75708 11651 13418 50639 94407 50519 0 11651 13515 25353 7646 36242 11053 -97 25286 -11053
"199502" 86695 7686 79009 11869 14276 52864 97749 55145 0 11869 14373 28903 7686 34918 11054 -97 23961 -11054
"199503" 83481 7380 76101 11035 14681 50385 94532 54544 0 11035 14777 28732 7380 32608 11051 -96 21653 -11051
"199504" 82065 7283 74782 11037 14649 49096 93115 53779 0 11037 14745 27997 7283 32053 11050 -96 21099 -11050
"199601" 80315 7159 73156 11046 15249 46861 91368 53266 0 11046 15344 26876 7159 30943 11053 -95 19985 -11053
"199602" 79411 7072 72339 10980 15282 46077 90461 52880 0 10980 15377 26523 7072 30509 11050 -95 19554 -11050
"199603" 71511 7052 64459 10177 15421 38861 82561 45069 0 10177 15515 19377 7052 30440 11050 -94 19484 -11050
"199604" 71086 7045 64041 10312 15435 38294 82135 44872 1 10312 15529 19030 7045 30218 11048 -94 19264 -11049
"199701" 62967 6795 56172 9879 13846 32447 74017 38315 0 9879 13939 14497 6795 28907 11050 -93 17950 -11050
"199702" 63564 6801 56763 10023 13805 32935 74614 38886 0 10023 13898 14965 6801 28927 11050 -93 17970 -11050
"199703" 62787 6689 56098 9997 14042 32059 73837 38599 0 9997 14135 14467 6689 28549 11050 -93 17592 -11050
"199704" 65518 6611 58907 10027 18071 30809 76568 41957 3 10027 18164 13763 6611 28000 11047 -93 17046 -11050
"199801" 64849 6545 58304 10108 17976 30220 75898 41682 0 10108 18065 13509 6545 27671 11049 -89 16711 -11049
"199802" 66638 6524 60114 10001 18945 31168 77685 42836 0 10001 19033 13802 6524 28325 11047 -88 17366 -11047
"199803" 71351 6719 64632 10106 21644 32882 82395 46269 0 10106 21729 14434 6719 29407 11044 -85 18448 -11044
"199804" 77614 6899 70715 10603 24111 36001 88655 51037 -5 10603 24205 16234 6899 30719 11046 -94 19767 -11041
"199901" 69963 6653 63310 9682 23231 30397 81012 48262 0 9682 23354 15226 6653 26097 11049 -123 15171 -11049
"199902" 67188 6545 60643 9719 21462 29462 78234 45974 0 9719 21592 14663 6545 25715 11046 -130 14799 -11046
"199903" 69166 6799 62367 10284 19978 32105 80213 46378 0 10284 20094 16000 6799 27036 11047 -116 16105 -11047
"199904" 67193 6725 60468 10336 17950 32182 78241 44452 0 10336 18074 16042 6725 27064 11048 -124 16140 -11048
"200001" 66340 6599 59741 10335 17871 31535 77388 44052 0 10335 17985 15732 6599 26737 11048 -114 15803 -11048
"200002" 63461 6552 56909 10444 15428 31037 74507 41473 0 10444 15542 15487 6552 26482 11046 -114 15550 -11046
"200003" 61569 6359 55210 10316 13685 31209 72615 39682 0 10316 13799 15567 6359 26574 11046 -114 15642 -11046
"200004" 62985 6384 56601 10539 14824 31238 74031 41051 0 10539 14944 15568 6384 26596 11046 -120 15670 -11046
"200101" 59353 6177 53176 10379 13777 29020 70399 38741 0 10379 13896 14466 6177 25481 11046 -119 14554 -11046
"200102" 59906 6103 53803 10409 14619 28775 70950 39495 0 10409 14739 14347 6103 25352 11044 -120 14428 -11044
"200103" 66234 6316 59918 10919 18404 30595 77278 44666 -1 10919 18519 15229 6316 26296 11045 -115 15366 -11044
"200104" 63766 6157 57609 10774 17854 28981 74811 43164 0 10774 17968 14422 6157 25490 11045 -114 14559 -11045
"200201" 62639 6109 56530 10809 17078 28643 73683 42247 0 10809 17174 14264 6109 25327 11044 -96 14379 -11044
"200202" 70171 6519 63652 11645 19841 32166 81215 47606 0 11645 19956 16005 6519 27090 11044 -115 16161 -11044
"200203" 71299 6481 64818 11710 20857 32251 82341 48815 4 11710 20980 16121 6481 27045 11038 -123 16130 -11042
"200204" 74624 6661 67963 12166 21979 33818 85667 51144 4 12166 22069 16905 6661 27862 11039 -90 16913 -11043
"200301" 75737 6731 69006 11392 22858 34756 86780 51745 5 11392 22975 17373 6731 28304 11038 -117 17383 -11043
"200302" 77480 6864 70616 11720 23210 35686 88524 52934 4 11720 23373 17837 6864 28726 11040 -163 17849 -11044
"200303" 80393 7005 73388 12062 24067 37259 91436 54879 4 12062 24190 18623 7005 29552 11039 -123 18636 -11043
"200304" 82176 7281 74895 12638 22535 39722 93219 55156 4 12638 22660 19854 7281 30782 11039 -125 19868 -11043
"200401" 81401 7254 74147 12691 21642 39814 92446 54360 4 12691 21765 19900 7254 30832 11041 -123 19914 -11045
"200402" 78792 7184 71608 12659 20076 38873 89837 52282 5 12659 20189 19429 7184 30371 11040 -113 19444 -11045
"200403" 78732 7197 71535 12782 19443 39310 89775 52002 4 12782 19569 19647 7197 30576 11039 -126 19663 -11043
"200404" 83388 7609 75779 13582 19479 42718 94433 54544 4 13582 19608 21350 7609 32280 11041 -129 21368 -11045
"200501" 75303 7402 67901 11564 15276 41061 86344 47496 4 11564 15406 20522 7402 31446 11037 -130 20539 -11041
"200502" 72690 7137 65553 11243 15274 39036 83731 46157 4 11243 15400 19510 7137 30437 11037 -126 19526 -11041
"200503" 67334 7102 60232 8245 13245 38742 78375 41025 4 8245 13414 19362 7102 30248 11037 -169 19380 -11041
"200504" 61088 7003 54085 8210 8036 37839 72131 35274 4 8210 8149 18911 7003 29854 11039 -113 18928 -11043
"200601" 61371 7059 54312 8344 7376 38592 72415 35139 5 8344 7503 19287 7059 30217 11039 -127 19305 -11044
"200602" 64142 7248 56894 8618 7906 40370 75183 36830 4 8618 8032 20176 7248 31105 11037 -126 20194 -11041
"200603" 62410 7234 55176 8655 6619 39902 73451 35347 4 8655 6747 19941 7234 30870 11037 -128 19961 -11041
"200604" 62224 7371 54853 8870 5040 40943 73265 34506 4 8870 5171 20461 7371 31388 11037 -131 20482 -11041
"200701" 62909 7399 55510 8948 4846 41716 73950 34768 4 8948 4968 20848 7399 31783 11037 -122 20868 -11041
"200702" 62512 7426 55086 9018 4573 41495 73553 34451 4 9018 4692 20737 7426 31676 11037 -119 20758 -11041
"200703" 65657 7627 58030 9301 4463 44266 76698 36033 4 9301 4606 22122 7627 33038 11037 -143 22144 -11041
"200704" 67266 7742 59524 9476 4244 45804 78307 36364 4 9476 4375 22509 7742 34201 11037 -131 23295 -11041
"200801" 72780 8057 64723 9892 4302 50529 83821 39256 4 9892 4431 24929 8057 36508 11037 -129 25600 -11041
"200802" 72703 8004 64699 9849 5237 49613 83744 39031 4 9849 5367 23811 8004 36709 11037 -130 25802 -11041
"200803" 68424 7630 60794 9418 4750 46626 79465 37580 4 9418 4832 23326 7630 34255 11037 -82 23300 -11041
"200804" 74154 7547 66607 9340 7683 49584 85195 41940 4 9340 7816 24780 7547 35708 11037 -133 24804 -11041
"200901" 71242 7325 63917 9082 8201 46634 82283 40436 4 9082 8331 23019 7325 34522 11037 -130 23615 -11041
"200902" 78052 7605 70447 9437 12113 48897 89093 46001 4 9437 12247 24313 7605 35487 11037 -134 24584 -11041
"200903" 179208 55953 123255 57945 13470 51840 190249 97335 4 57945 13512 25874 55953 36961 11037 -42 25966 -11041
"200904" 175083 55364 119719 57814 11385 50520 186124 94584 4 57814 11518 25248 55364 36176 11037 -133 25272 -11041
"201001" 170097 53618 116479 55996 11598 48885 181138 92162 4 55996 11731 24431 53618 35358 11037 -133 24454 -11041
"201002" 165701 52228 113473 54551 11365 47557 176742 89821 4 54551 11498 23768 52228 34693 11037 -133 23789 -11041
"201003" 177015 54958 122057 57410 12938 51709 188056 96252 4 57410 13071 25767 54958 36846 11037 -133 25942 -11041
