"DATES" "FL714090005.Q" "FL713011005.Q" "FL713014003.Q" "FL713012003.Q" "FL713022003.Q" "FL713068705.Q" "FL713068703.Q" "FL723069143.Q" "FL712050000.Q" "FL714004005.Q" "FL713069603.Q" "FL713061100.Q" "FL713061705.Q" "FL713068005.Q" "FL713068303.Q" "FL713068473.Q" "FL663168005.Q" "FL713068513.Q" "FL713068523.Q" "FL713068533.Q" "FL713068543.Q" "FL713068553.Q" "FL713064103.Q" "FL713090005.Q" "FL713091103.Q" "FL713093005.Q" "FL714190005.Q" "FL713113003.Q" "FL723025000.Q" "FL713120005.Q" "FL713123005.Q" "FL713123023.Q" "FL713123030.Q" "FL713123043.Q" "FL713122605.Q" "FL713124003.Q" "FL713125005.Q" "FL712150003.Q" "FL713190005.Q" "FL713164003.Q" "FL713193005.Q"
"196502" 61171 14344 0 5256 1349 646 646 0 450 38714 3 38700 0 11 0 11 0 0 0 0 0 0 0 412 0 412 60524 18229 4978 36375 1419 747 672 0 214 0 34742 0 942 541 401
"196503" 61601 14674 0 5316 1405 123 123 0 350 39287 11 39269 0 7 0 7 0 0 0 0 0 0 0 446 0 446 60948 17797 5370 36936 1656 804 852 0 233 0 35047 0 845 544 301
"196504" 63523 14313 0 5419 2248 96 96 0 402 40594 75 40478 0 41 0 41 0 0 0 0 0 0 0 451 0 451 62972 18447 4851 38834 1428 760 668 0 201 0 37205 0 840 551 289
"196601" 62595 13793 0 5580 1388 579 579 0 400 40246 30 40196 0 20 0 20 0 0 0 0 0 0 0 609 0 609 61914 17941 5470 37786 1486 940 546 0 341 0 35959 0 717 560 157
"196602" 64943 13855 0 5822 1957 287 287 0 500 41912 138 41769 0 5 0 5 0 0 0 0 0 0 0 610 0 610 64248 18564 5234 39651 1815 1049 766 0 516 0 37320 0 799 562 237
"196603" 65152 13806 0 5930 1647 979 979 0 500 41600 48 41537 0 15 0 15 0 0 0 0 0 0 0 690 0 690 64443 18070 5830 39805 2404 1091 1313 0 393 0 37008 0 738 566 172
"196604" 67980 13977 0 6161 2510 173 173 0 785 43724 69 43655 0 0 0 0 0 0 0 0 0 0 0 650 0 650 67410 19794 5450 41210 1592 1176 416 0 405 0 39213 0 956 570 386
"196701" 66244 13235 0 6348 1260 29 29 0 600 44039 0 44029 0 10 0 10 0 0 0 0 0 0 0 733 0 733 65508 18619 5970 40151 2012 1335 677 0 384 0 37755 0 768 578 190
"196702" 69016 13629 0 6456 1345 53 53 0 500 46370 36 46318 1 15 0 15 0 0 0 0 0 0 0 663 0 663 68280 19505 4854 43032 2783 1472 1311 0 402 0 39847 0 889 585 304
"196703" 69443 13723 0 6604 1235 171 171 0 400 46462 60 46402 0 0 0 0 0 0 0 0 0 0 0 848 0 848 68699 20039 6252 41519 2234 1523 711 0 428 0 38857 0 889 589 300
"196704" 72763 13526 0 6628 2483 141 141 0 259 49055 75 48980 0 0 0 0 0 0 0 0 0 0 0 671 0 671 72165 21092 5931 44099 2467 1344 1123 0 396 0 41236 0 1043 598 445
"196801" 71900 11967 0 6799 1344 1390 1390 0 0 49610 100 49495 0 15 0 15 0 0 0 0 0 0 0 790 0 790 71090 21232 6250 42559 2096 1131 965 0 448 0 40015 0 1049 612 437
"196802" 73417 11315 0 6708 1938 292 292 0 0 52377 134 52230 0 13 0 13 0 0 0 0 0 0 0 787 0 787 72598 21462 5190 44793 1912 838 1074 0 431 0 42450 0 1153 617 536
"196803" 74924 11576 0 6741 1770 1565 1565 0 0 52454 49 52405 0 0 0 0 0 0 0 0 0 0 0 818 0 818 74094 22413 6660 43923 1824 797 1027 0 403 0 41696 0 1098 619 479
"196804" 76736 12370 0 6795 3482 188 188 0 0 52995 58 52937 0 0 0 0 0 0 0 0 0 0 0 906 0 906 76106 21859 7195 45642 1398 695 703 0 477 0 43767 0 1410 630 780
"196901" 75176 12387 0 6826 2034 997 997 0 0 52089 74 52010 5 0 0 0 0 0 0 0 0 0 0 843 0 843 74294 22066 6490 44672 1217 715 502 0 404 0 43051 0 1066 641 425
"196902" 76311 12142 0 6736 1472 1049 1049 0 0 54136 41 54095 0 0 0 0 0 0 0 0 0 0 0 776 0 776 75406 20808 6258 46969 1891 633 1258 0 419 0 44659 0 1371 659 712
"196903" 78191 12667 0 6761 2313 1526 1526 0 0 54028 60 53932 36 0 0 0 0 0 0 0 0 0 0 896 0 896 77274 22508 6950 46637 1885 682 1203 0 410 0 44342 0 1179 666 513
"196904" 80738 12273 0 6848 3440 183 183 0 0 57218 64 57154 0 0 0 0 0 0 0 0 0 0 0 776 0 776 80069 22085 7320 48911 1969 657 1312 0 377 0 46565 0 1753 669 1084
"197001" 80236 12478 400 6900 2237 1554 1554 0 0 55737 76 55578 43 40 0 40 0 0 0 0 0 0 0 930 0 930 79268 22568 6940 48129 2060 581 1479 0 456 0 45613 0 1631 681 950
"197002" 80968 11988 400 6986 2562 330 330 0 0 57836 32 57714 0 90 0 90 0 0 0 0 0 0 0 866 0 866 79987 21991 7090 49115 1444 439 1005 0 410 0 47261 0 1791 685 1106
"197003" 83521 11742 400 7074 2313 853 853 0 0 60142 87 59975 80 0 0 0 0 0 0 0 0 0 0 997 0 997 82537 23938 7260 49585 1685 447 1238 0 365 0 47535 0 1754 691 1063
"197004" 86124 10914 400 7149 4261 335 335 0 0 62199 57 62142 0 0 0 0 0 0 0 0 0 0 0 866 0 866 85422 24150 7047 51979 1587 431 1156 0 346 0 50046 0 2246 702 1544
"197101" 86728 10670 400 7270 2550 391 391 0 350 64133 88 63860 185 0 0 0 0 0 0 0 0 0 0 964 0 964 85736 25932 7230 50819 1341 483 858 0 404 0 49074 0 1755 717 1038
"197102" 87740 10355 400 7420 2549 446 446 0 650 64930 12 64918 0 0 0 0 0 0 0 0 0 0 0 990 0 990 86759 24550 7634 52859 1728 454 1274 0 372 0 50759 0 1716 729 987
"197103" 89657 10078 400 7547 2527 382 382 0 950 66802 41 66662 99 0 0 0 0 0 0 0 0 0 0 971 0 971 88644 25424 8100 53601 2496 475 2021 0 373 0 50732 0 1519 734 785
"197104" 94598 10073 400 7627 4343 39 39 0 1504 69561 80 68996 485 0 0 0 0 0 0 0 0 0 0 1051 0 1051 93856 27788 7541 56470 2484 464 2020 0 465 0 53521 0 2057 742 1315
"197201" 93264 9528 400 7895 2673 1030 1030 0 1110 69748 19 68971 758 0 0 0 0 0 0 0 0 0 0 880 0 880 92241 28471 8050 53938 1330 413 917 0 275 0 52333 0 1782 761 1021
"197202" 95752 10350 400 8066 3299 130 130 0 690 71845 23 70756 1066 0 0 0 0 0 0 0 0 0 0 972 0 972 94745 27482 6799 58386 2695 351 2344 0 298 0 55393 0 2078 772 1306
"197203" 94655 10432 400 8200 3742 842 842 0 370 69708 10 68677 1021 0 0 0 0 0 0 0 0 0 0 961 0 961 93724 26692 8840 56199 2209 347 1862 0 229 0 53761 0 1993 778 1215
"197204" 97596 10524 400 8313 3974 1981 1981 0 147 71189 70 69808 1311 0 0 0 0 0 0 0 0 0 0 1068 0 1068 96803 25647 8648 60440 2200 345 1855 0 369 0 57871 0 2068 793 1275
"197301" 99585 10334 400 8420 2121 2028 2028 0 90 75247 144 73784 1319 0 0 0 0 0 0 0 0 0 0 945 0 945 98453 26873 8889 60510 3778 396 3382 0 442 0 56290 0 2181 807 1374
"197302" 100738 10321 400 8531 2048 1770 1770 0 100 76437 66 74952 1419 0 0 0 0 0 0 0 0 0 0 1131 0 1131 99574 24818 7666 64944 4408 369 4039 0 437 0 60099 0 2146 820 1326
"197303" 104923 10334 400 8614 3036 4522 4522 0 110 76916 57 75224 1635 0 0 0 0 0 0 0 0 0 0 991 0 991 103699 30962 9671 60536 1497 372 1125 0 500 0 58539 0 2530 829 1701
"197304" 106889 11491 400 8716 3099 1258 1258 0 100 80463 68 78458 1937 0 0 0 0 0 0 0 0 0 0 1362 0 1362 106045 27060 10688 64954 2859 317 2542 0 300 0 61795 0 3343 844 2499
"197401" 106284 11487 400 8813 2222 2033 2033 0 400 79906 30 77929 1947 0 0 0 0 0 0 0 0 0 0 1023 0 1023 105012 28410 9709 64339 2432 338 2094 0 419 0 61488 0 2554 872 1682
"197402" 111496 11575 400 8924 2297 3210 3210 0 700 83216 104 80284 2828 0 0 0 0 0 0 0 0 0 0 1174 0 1174 110156 30086 8355 69100 3193 274 2919 0 445 0 65462 0 2615 878 1737
"197403" 116654 11734 400 9069 3721 5192 5192 0 1000 84377 190 80353 3834 0 0 0 0 0 0 0 0 0 0 1161 0 1161 115262 33256 10507 68697 3665 318 3347 0 704 0 64328 0 2802 886 1916
"197404" 113429 11571 400 9252 2001 299 299 0 1374 85339 579 80058 4702 0 0 0 0 0 0 0 0 0 0 3193 0 3193 112532 25843 11640 71897 3298 185 3113 0 523 0 68076 0 3152 897 2255
