"DATES" "FL893167005.Q" "FL153167005.Q" "FL263167003.Q" "FL663167005.Q" "FL663167003.Q" "FL723067003.Q" "FL753067000.Q" "FL893167005.Q" "FL153067005.Q" "FL263067003.Q" "FL763067005.Q" "FL663067003.Q"
"199604" 358076 94411 0 263665 162859 60237 40569 358076 162859 0 100806 94411
"199701" 380320 101354 0 278966 171999 65874 41093 380320 171999 0 106967 101354
"199702" 414320 110390 0 303930 188656 63009 52265 414320 188656 0 115274 110390
"199703" 431835 127447 0 304388 192808 65419 46161 431835 192808 0 111580 127447
"199704" 469080 131172 0 337908 215452 64407 58049 469080 215452 0 122456 131172
"199801" 504740 140059 0 364681 233305 71592 59784 504740 233305 0 131376 140059
"199802" 539562 151513 0 388049 248350 72201 67498 539562 248350 0 139699 151513
"199803" 573350 149053 0 424297 277833 72630 73834 573350 277833 0 146464 149053
"199804" 572239 152761 0 419478 276675 76313 66490 572239 276675 0 142803 152761
"199901" 552636 160646 0 391990 262335 70519 59136 552636 262335 0 129655 160646
"199902" 587061 183825 0 403236 270394 74652 58190 587061 270394 0 132842 183825
"199903" 593061 185837 0 407224 285143 65311 56770 593061 285143 0 122081 185837
"199904" 676591 227926 0 448665 323880 67550 57235 676591 323880 0 124785 227926
"200001" 801054 286471 0 514583 371239 76505 66839 801054 371239 0 143344 286471
"200002" 780175 270234 0 509941 359464 70454 80023 780175 359464 0 150477 270234
"200003" 805811 273873 0 531938 372945 67538 91455 805811 372945 0 158993 273873
"200004" 822720 235134 0 587586 412434 74671 100481 822720 412434 0 175152 235134
"200101" 799306 195785 0 603521 412029 82178 109314 799306 412029 0 191492 195785
"200102" 781547 195977 0 585570 412906 83792 88872 781547 412906 0 172664 195977
"200103" 919920 258064 0 661856 494787 92620 74449 919920 494787 0 167069 258064
"200104" 825864 196359 0 629505 454329 81906 93270 825864 454329 0 175176 196359
"200201" 778034 191989 0 586045 427497 80690 77858 778034 427497 0 158548 191989
"200202" 745623 170555 0 575068 400494 84884 89690 745623 400494 0 174574 170555
"200203" 726258 149624 0 576634 401309 84936 90389 726258 401309 0 175325 149624
"200204" 738842 148201 0 590641 412699 79219 98723 738842 412699 0 177942 148201
