"DATES" "FL792150005.Q" "FL712150003.Q" "FL762150005.Q" "FL722150005.Q" "FL752150000.Q" "FL732150005.Q" "FL442150005.Q" "FL542150005.Q" "FL642150003.Q" "FL662150005.Q" "FL892050005.Q" "FL102050003.Q" "FL212050003.Q" "FL262050003.Q" "FL792050005.Q" "FL712050000.Q" "FL442050005.Q" "FL472050000.Q" "FL512050003.Q" "FL572050005.Q" "FL222050003.Q" "FL632050000.Q" "FL652050003.Q" "FL402050005.Q" "FL502050003.Q" "FL902050005.Q"
"198203" 151694 0 137501 137501 0 0 16068 0 0 -1875 92272 3305 14701 5870 68396 5616 18408 3032 0 8648 0 18906 2125 11661 0 59422
"198204" 175790 0 137936 137936 0 0 13510 0 0 24344 96143 2435 16086 5986 71636 5773 20819 3186 0 8705 0 16224 2074 14855 0 79647
"198301" 159555 0 142898 142398 500 0 14653 0 0 2004 93715 3278 18517 6048 65872 0 22043 2883 0 9291 164 13238 2685 15568 0 65840
"198302" 157634 0 138332 136832 1500 0 18506 0 0 796 99603 3899 23422 6020 66262 1580 21322 3309 0 10383 406 12050 2989 14223 0 58031
"198303" 181046 0 148779 146279 2500 0 21053 0 0 11214 121038 3847 30795 6174 80222 10925 23067 3813 0 10372 695 14799 2947 13604 0 60008
"198304" 188439 0 153474 149974 3500 0 26562 0 0 8403 111461 3248 32665 6659 68889 2010 22560 4270 0 10596 1000 13029 2855 12569 0 76978
"198401" 198870 0 163275 159536 3739 0 30069 0 0 5526 122511 4127 36581 6184 75619 0 26871 5549 0 10166 1321 17499 934 13279 0 76359
"198402" 194281 0 155486 151794 3692 0 39624 0 0 -829 125457 5917 40000 6027 73513 0 26085 5075 0 9894 1657 17080 976 12746 0 68824
"198403" 212285 0 157577 153651 3926 0 44361 0 0 10347 134985 3928 48267 5760 77030 0 25057 4420 0 10593 2040 20400 1349 13171 0 77300
"198404" 224107 0 155183 152015 3168 0 43412 0 0 25512 154819 3919 53122 6758 91020 2015 26311 4614 0 10909 2500 22606 1153 20912 0 69288
"198501" 202239 0 161695 157431 4264 0 38851 0 0 1693 158616 8081 58548 6455 85532 0 22486 6017 0 11648 3039 23116 1111 18115 0 43623
"198502" 204268 0 164798 160428 4370 0 31770 0 0 7700 166595 4225 67216 6661 88493 0 24661 7614 0 12448 3656 17849 893 21372 0 37673
"198503" 216380 0 174552 169899 4653 0 33834 0 0 7994 174940 4794 73614 7618 88914 0 20935 7927 0 12043 4320 21103 1237 21349 0 41440
"198504" 250573 0 186405 178762 7643 0 40425 0 0 23743 198922 3374 74128 7517 113903 5223 22106 8356 0 19181 5000 25871 1257 26909 0 51651
"198601" 273288 0 196444 188378 8066 0 40336 0 0 36508 205295 3349 74379 8479 119088 0 27386 10910 0 19264 5714 26010 1979 27825 0 67993
"198602" 277989 0 194213 181792 12421 0 48632 0 0 35144 215913 2900 75637 8509 128867 0 29202 12044 0 19513 6480 31910 2121 27597 0 62076
"198603" 293286 0 209318 196573 12745 0 50299 0 0 33669 235743 3742 81473 9841 140687 8123 28147 11500 0 19857 7355 30569 2088 33048 0 57543
"198604" 298540 0 205431 189350 16081 0 57543 0 0 35566 234826 5073 78977 10867 139909 16005 19854 10867 0 20867 8270 31899 2751 29396 0 63714
