"DATES" "FL214090005.Q" "FL213020005.Q" "FL213030005.Q" "FL213034003.Q" "FL212050003.Q" "FL214004005.Q" "FL213069103.Q" "FL213061105.Q" "FL213061703.Q" "FL213062003.Q" "FL213063003.Q" "FL213065005.Q" "FL213064103.Q" "FL213064203.Q" "FL213070003.Q" "FL213078005.Q" "FL213093005.Q" "FL214190005.Q" "FL214104005.Q" "FL213162005.Q" "FL213162400.Q" "FL213162205.Q" "FL213169203.Q" "FL213170003.Q"
"197703" 199173 11306 52759 0 715 103922 0 55880 26402 7357 0 14283 0 0 18278 12193 0 296341 252133 244799 13033 231766 7334 44208
"197704" 209365 13460 55766 0 -1970 110601 0 61359 26705 7920 0 14617 0 0 19261 12247 0 301429 256165 248143 11570 236573 8022 45264
"197801" 221875 11131 59578 0 -1382 120922 0 68774 28415 8559 0 15174 0 0 19667 11959 0 310464 264139 255832 9887 245945 8307 46325
"197802" 235453 12571 58731 0 0 130745 0 73601 33040 8346 0 15758 0 0 20539 12867 0 322319 274834 268370 11430 256940 6464 47485
"197803" 247139 11481 61164 0 479 139702 0 80665 34581 8168 0 16288 0 0 21163 13150 0 333531 284847 278386 11898 266488 6461 48684
"197804" 262347 13427 62912 0 2158 147526 0 83677 39495 7238 0 17116 0 0 22572 13752 0 345521 295601 289135 12154 276981 6466 49920
"197901" 274742 10967 65474 0 3783 157178 0 89510 42995 6457 0 18216 0 0 23021 14319 0 352975 301844 295363 10970 284393 6481 51131
"197902" 283306 12066 62093 0 8000 161791 0 89331 46504 6381 0 19575 0 0 24027 15329 0 361952 309535 302887 11801 291086 6648 52417
"197903" 293116 11217 62232 0 10528 168003 0 90086 50211 6437 0 21269 0 0 25158 15978 0 370892 317129 310578 13424 297154 6551 53763
"197904" 303906 13045 60793 0 11781 175178 0 85458 59357 6788 0 23575 0 0 26463 16646 0 377379 322216 315554 13131 302423 6662 55163
"198001" 308777 10681 62596 0 14013 176401 0 82033 61731 7036 0 25601 0 0 26878 18208 0 382710 326092 319378 11846 307532 6714 56618
"198002" 312180 11979 58925 0 17500 178285 0 82482 60336 7354 0 28113 0 0 26900 18591 0 390578 332508 325729 13147 312582 6779 58070
"198003" 321547 11013 57595 0 20253 185738 0 87989 59467 7409 0 30873 0 0 27613 19335 0 398956 339435 332297 14621 317676 7138 59521
"198004" 330511 12438 58826 0 16997 193404 0 93318 59721 7008 0 33357 0 0 29217 19629 0 405438 344434 336848 14868 321980 7586 61004
"198101" 337724 9573 60356 0 17135 200641 0 97649 60564 6874 0 35554 0 0 30482 19537 0 412055 349480 341667 15122 326545 7813 62575
"198102" 345765 10806 57854 0 16301 210676 0 103543 62628 6712 0 37793 0 0 31017 19111 0 419451 355332 346762 15562 331200 8570 64119
"198103" 354216 9412 57983 0 17315 219653 0 106928 66253 6925 0 39547 0 0 31069 18784 0 430297 364627 356158 17057 339101 8469 65670
"198104" 360591 10964 61065 0 13661 225580 0 108317 69085 7139 0 41039 0 0 31551 17770 0 439322 372054 363230 16006 347224 8824 67268
"198201" 367077 8846 65520 0 11896 232219 0 116685 65763 7598 0 42173 0 0 31190 17406 0 448979 380108 371040 15228 355812 9068 68871
"198202" 377275 10008 63508 0 13450 240543 0 125498 64250 7601 0 43194 0 0 31687 18079 0 463142 392635 383029 19038 363991 9606 70507
"198203" 384377 8678 65194 0 14701 244919 0 122790 69922 7605 0 44602 0 0 32091 18794 0 475405 403231 393578 22112 371466 9653 72174
"198204" 392683 9409 64893 0 16086 250110 0 126269 70180 7383 0 46278 0 0 32899 19286 0 487657 413774 403983 22737 381246 9791 73883
"198301" 400207 7424 64565 0 18517 258324 0 132181 70582 7551 125 47885 0 0 32231 19097 49 497319 421714 411681 19704 391977 10033 75605
"198302" 415598 9317 60535 0 23422 268569 0 140253 71057 7254 250 49755 0 0 32688 20894 173 515731 438394 428044 21554 406490 10350 77337
"198303" 425255 7234 59605 0 30795 272847 0 142847 70347 7506 500 51647 0 0 32866 21846 62 529120 449996 439293 21548 417745 10703 79124
"198304" 438950 8729 58633 0 32665 282399 0 149226 70054 7955 1000 54164 0 0 34398 22057 69 542034 461109 450209 21256 428953 10900 80925
"198401" 452753 10543 56089 0 36581 291969 0 153515 71639 8454 1781 56580 0 0 35090 22254 227 554327 471540 460827 18502 442325 10713 82787
"198402" 470924 12940 55083 0 40000 302273 0 159585 71707 8743 2875 59363 0 0 36415 23206 1007 572708 488008 477008 18960 458048 11000 84700
"198403" 489263 10669 57024 0 48267 311825 0 161924 75416 8682 4031 61772 0 0 36765 22915 1798 591671 504998 493057 18439 474618 11941 86673
"198404" 506732 13760 58862 0 53122 318981 0 165994 74572 9016 5000 64399 0 0 37508 23052 1447 602320 513634 494993 17600 477393 18641 88686
"198501" 537014 10987 62869 0 58548 342064 0 176228 84887 8650 5844 66455 0 0 37683 23757 1106 628000 537245 516139 14750 501389 21106 90755
"198502" 569779 14109 60563 0 67216 362879 0 190544 88968 8151 6625 68591 0 0 38424 25056 1532 656532 563616 539249 14983 524266 24367 92916
"198503" 592461 12860 62559 0 73614 375500 0 196949 90871 9145 7344 71191 0 0 38725 26593 2610 684376 589238 563703 19920 543783 25535 95138
"198504" 686177 14831 65888 0 74128 455565 0 258670 105083 9605 8000 74207 0 0 41283 27022 7460 775352 677931 651111 20528 630583 26820 97421
"198601" 692035 12639 67418 0 74379 463389 0 263205 102965 9822 8578 78819 0 0 39252 27152 7806 779894 680083 653141 19139 634002 26942 99811
"198602" 725301 18099 65426 0 75637 489208 0 292695 95669 10086 9062 81696 0 0 39528 28358 9045 813364 711122 684072 23362 660710 27050 102242
"198603" 740216 14470 66614 0 81473 498421 0 292579 102273 10312 9515 83742 86 0 40386 28944 9822 831831 727112 700113 20400 679713 26999 104719
"198604" 771652 17282 68239 0 78977 525810 0 315727 103663 10415 10000 86005 219 0 42216 29770 9139 859326 752130 724873 20402 704471 27257 107196
"198701" 796980 12712 73519 0 81673 547992 0 344782 92814 10444 10516 89436 367 0 42807 28860 9050 890135 780422 753356 18678 734678 27066 109713
"198702" 814014 15650 73491 0 85191 556655 0 348605 94242 10446 11063 92299 500 0 43037 30085 9405 908237 795998 770823 12717 758106 25175 112239
"198703" 830398 13190 72961 0 90656 568156 86 352819 100018 10381 11579 93273 609 0 43964 30649 10213 935746 820948 795600 16238 779362 25348 114798
"198704" 856379 16548 75339 0 90908 583643 219 357626 108896 10205 12000 94697 687 0 45983 30252 13019 959958 842576 817678 19574 798104 24898 117382
"198801" 860919 18981 78302 0 88141 591317 367 367029 105533 10039 12313 96036 796 0 46643 30455 6284 971026 851013 826823 18145 808678 24190 120013
"198802" 870788 23229 73820 0 92201 594042 500 363439 110888 10000 12501 96714 1000 0 47514 32009 6973 984067 861342 838042 16253 821789 23300 122725
"198803" 879288 22227 74581 0 92776 600816 609 355855 124609 10086 12689 96968 1297 55 47804 33194 6538 1002131 876662 861662 19952 841710 15000 125469
"198804" 900347 24882 73365 0 89894 618591 687 364256 131713 10288 13000 98647 1688 94 50757 33887 7189 1021262 892989 883989 21536 862453 9000 128273
"198901" 913383 20594 75277 0 97872 624413 796 355914 143527 10514 13438 100224 2110 211 51488 34403 7015 1033073 901944 892568 20333 872235 9376 131129
"198902" 934416 23257 72775 0 100237 639286 1000 358584 152932 10673 14001 102096 2500 500 52449 35848 7564 1043439 909380 899977 18847 881130 9403 134059
"198903" 950265 22385 70752 0 103620 651386 1266 359807 161595 10771 14564 103383 2875 945 52866 37207 8229 1063166 926145 917344 24085 893259 8801 137021
"198904" 970879 25237 70585 0 106040 664056 1563 369087 162629 10816 15000 104961 3250 1531 54242 37368 8570 1080433 940363 931593 24843 906750 8770 140070
"199001" 992965 21772 71512 0 106401 687430 1954 401112 151991 10871 15313 106189 3625 2226 53795 37760 8444 1101915 958689 949669 23433 926236 9020 143226
"199002" 1004827 23595 69140 0 109562 693383 2500 404999 151960 11000 15501 107423 4000 3000 54533 38212 9402 1116368 969980 960810 21854 938956 9170 146388
"199003" 1008740 22355 68080 0 109957 697753 3180 407261 151795 11229 15689 108599 4375 3867 55975 38421 7957 1129972 980361 970791 27903 942888 9570 149611
