"DATES" "FL444090005.Q" "FL443013053.Q" "FL443020005.Q" "FL443030053.Q" "FL442050005.Q" "FL444004005.Q" "FL443069105.Q" "FL443061105.Q" "FL443061705.Q" "FL443061875.Q" "FL443061675.Q" "FL443061775.Q" "FL443062005.Q" "FL443063005.Q" "FL443065775.Q" "FL443063675.Q" "FL443063075.Q" "FL443069505.Q" "FL443065005.Q" "FL443066005.Q" "FL443064175.Q" "FL443090005.Q" "FL444190005.Q" "FL443139005.Q" "FL443127005.Q" "FL443131005.Q" "FL443135005.Q" "FL442150005.Q" "FL444104005.Q" "FL443163053.Q" "FL443168005.Q" "FL443169305.Q" "FL443178005.Q" "FL443190005.Q" "FL443194733.Q" "FL443193005.Q"
"197202" 317475 0 2426 3478 2125 293007 0 9022 12514 3715 0 8799 786 17889 0 0 17889 708 247314 4774 3912 12527 302490 279287 500 276866 1921 10 7239 0 1164 6075 149 15805 0 15805
"197203" 329164 0 2505 3403 2191 304124 0 8886 13298 3902 0 9396 985 17789 0 0 17789 689 257517 4960 4077 12864 313753 288772 512 286106 2154 15 8029 0 1293 6736 164 16773 0 16773
"197204" 340720 0 2837 3371 1667 314506 0 8703 14082 4313 0 9769 1038 17438 0 0 17438 568 267529 5148 4500 13839 324694 298377 523 295465 2389 323 9501 0 1522 7979 176 16317 0 16317
"197301" 353904 0 2719 4287 3675 325192 0 8634 15010 7319 0 7691 1196 17769 0 0 17769 233 275548 6802 4340 13691 337593 309629 625 306381 2623 24 9918 0 1498 8420 237 17785 0 17785
"197302" 365100 0 2868 4000 2938 336741 0 7893 16153 7946 0 8207 1194 17429 0 0 17429 573 286222 7277 4126 14427 348939 317148 670 313622 2856 25 12807 0 1662 11145 203 18756 0 18756
"197303" 369998 0 2503 3260 2799 343120 0 6891 16306 7899 0 8407 1127 15436 0 0 15436 629 294832 7899 4606 13710 352912 317047 681 313276 3090 325 16191 0 1893 14298 209 19140 0 19140
"197304" 374161 0 2946 2908 3709 348036 0 6991 16310 7727 0 8583 1106 14360 0 0 14360 451 300296 8522 4200 12362 357441 323315 705 319130 3480 326 17068 0 1921 15147 212 16520 0 16520
"197401" 384981 0 2703 3540 7038 354454 0 6867 17193 8450 0 8743 1139 14541 0 0 14541 496 305576 8642 4476 12770 367914 333717 729 329089 3899 350 16582 0 1587 14995 243 17022 0 17022
"197402" 391865 0 2644 3020 7046 360718 0 6694 17242 8701 0 8541 1092 13906 0 0 13906 446 312575 8763 4260 14177 374988 336339 757 331460 4122 1100 19505 0 1863 17642 229 17815 0 17815
"197403" 394013 0 2207 2896 6204 365377 0 5763 17163 8874 0 8289 1102 13748 0 0 13748 475 318176 8950 3281 14048 377894 335347 787 330180 4380 1550 22984 0 2212 20772 254 17759 0 17759
