"DATES" "FL764035605.Q" "FL763069175.Q" "FL763065005.Q" "FL723066000.Q" "FL763067005.Q" "FL763068005.Q" "FL723068005.Q" "FL753068005.Q" "FL733068003.Q" "FL743068005.Q" "FL713068005.Q" "FL773068005.Q" "FL893168005.Q" "FL293168005.Q" "FL153168005.Q" "FL103168005.Q" "FL113168003.Q" "FL133168000.Q" "FL263168005.Q" "FL263168465.Q" "FL263168475.Q" "FL263168485.Q" "FL693168005.Q" "FL443168005.Q" "FL613168000.Q" "FL643168003.Q" "FL663168005.Q" "FL713068505.Q"
"197703" 627625 10574 171166 134369 21879 289637 260069 25768 3800 0 0 289637 289637 271991 23135 149852 44267 26299 28438 2768 13751 11919 17646 1300 14346 2000 0 0
"197704" 658157 13196 178978 140302 23892 301789 269474 28505 3810 0 0 301789 301789 281923 23434 154918 46393 25729 31449 2937 16184 12328 19866 1252 16744 1870 0 0
"197801" 669108 10395 184596 143291 20050 310776 275280 31496 4000 0 0 310776 310776 292637 22050 163447 49145 25399 32596 3077 16821 12698 18139 1300 15119 1720 0 0
"197802" 707830 10628 194467 154140 21900 326695 288191 34304 4200 0 0 326695 326695 306580 22626 170289 52576 27017 34072 2996 17410 13666 20115 1400 17363 1352 0 0
"197803" 735745 11373 205163 161619 21202 336388 293763 38225 4400 0 0 336388 336388 315086 22524 169403 56230 28084 38845 3705 19410 15730 21302 2763 17313 1226 0 0
"197804" 773994 11981 214046 166512 21025 360430 309168 46634 4628 0 0 360430 360430 336062 23142 175120 59649 28211 49940 5167 25707 19066 24368 3125 20083 1160 0 0
"197901" 782445 11293 219655 168703 19812 362982 309891 48591 4500 0 0 362982 362982 341356 21999 181699 63052 28122 46484 5980 21959 18545 21626 1300 19226 1100 0 0
"197902" 821943 12011 228820 176177 22569 382366 324650 53316 4400 0 0 382366 382366 357245 21510 190790 66656 29806 48483 5161 23431 19891 25121 1960 22141 1020 0 0
"197903" 858604 12566 238796 182530 21630 403082 337292 61490 4300 0 0 403082 403082 375485 21068 198334 70048 30840 55195 7653 25387 22155 27597 2300 24367 930 0 0
"197904" 876592 14059 245187 185725 20154 411467 347428 59809 4230 0 0 411467 411467 383498 22386 204270 72815 31033 52994 7307 21622 24065 27969 2690 24449 830 0 0
"198001" 879259 12634 249236 183415 16719 417255 352061 61028 4100 66 0 417255 417255 389762 22933 212237 73831 30509 50252 7874 19485 22893 27493 2500 24193 800 0 0
"198002" 872977 14767 252016 177822 16681 411691 345172 62356 4000 163 0 411691 411691 385061 25583 200926 73976 31059 53517 9228 20936 23353 26630 1823 24057 750 0 0
"198003" 896243 15657 256695 179789 16107 427995 355856 67960 3900 279 0 427995 427995 399706 24423 211339 74153 31598 58193 10002 23476 24715 28289 2800 24779 710 0 0
"198004" 938073 15753 262661 180215 20924 458520 379091 75326 3703 400 0 458520 458520 429776 27837 230332 75267 31566 64774 11851 26300 26623 28744 2678 25386 680 0 0
"198101" 930537 15483 265822 176465 19586 453181 375751 74191 2700 539 0 453181 453181 425273 26982 226833 77394 31358 62706 10938 22831 28937 27908 2700 24558 650 0 0
"198102" 965979 17063 272694 179065 22884 474273 396767 73683 3167 656 0 474273 474273 444296 29160 236741 80613 33173 64609 11226 23677 29706 29977 2819 26538 620 0 0
"198103" 995509 16050 278859 182849 21977 495774 410554 80725 3650 845 0 495774 495774 464252 29219 249891 83709 33559 67874 11796 25527 30551 31522 4000 26932 590 0 0
"198104" 1023274 16497 284216 184193 26209 512159 425727 81140 4092 1200 0 512159 512159 481346 33480 261678 85467 32920 67801 12621 21837 33343 30813 2958 27295 560 0 0
"198201" 1000638 18794 288774 182922 20354 489794 430177 54378 3500 1739 0 489794 489794 457175 29731 273213 83894 33284 37053 4831 14676 17546 32619 3500 28593 526 0 0
"198202" 1026079 16256 294234 185223 21491 508875 449923 53539 2928 2485 0 508875 508875 476122 31083 293170 81003 35772 35094 5540 13619 15935 32753 3600 28602 551 0 0
"198203" 1048152 17052 298194 188072 22843 521991 459421 56308 3000 3262 0 521991 521991 489505 31708 308505 77966 37007 34319 5954 13429 14936 32486 3400 28513 573 0 0
"198204" 1067984 16810 301272 190932 26215 532755 469726 56076 3053 3900 0 532755 532755 499457 35081 318498 75958 36135 33785 5435 15055 13295 33298 2836 29886 576 0 0
"198301" 1063497 14096 303947 186947 23011 535496 469210 59260 2600 4426 0 535496 535496 501131 32225 319132 75117 36445 38212 6690 15836 15686 34365 2700 31095 570 0 0
"198302" 1081351 14463 311121 190915 26318 538534 474647 56763 2240 4884 0 538534 538534 503899 34104 318104 74584 38516 38591 7541 15890 15160 34635 2684 31471 480 0 0
"198303" 1103292 14617 321244 200673 24093 542665 476254 58663 2450 5298 0 542665 542665 507769 33418 322815 74625 39102 37809 7275 15360 15174 34896 2900 31576 420 0 0
"198304" 1151354 14340 330521 213663 28661 564169 497051 58692 2726 5700 0 564169 564169 528340 35609 340892 75504 38927 37408 8475 14151 14782 35829 3165 32314 350 0 0
