"DATES" "FL893064105.Q" "FL103164103.Q" "FL263164103.Q" "FL793164105.Q" "FL893064105.Q" "FL153064105.Q" "FL213064103.Q" "FL313064105.Q" "FL263064105.Q" "FL713064103.Q" "FL763064105.Q" "FL443064175.Q" "FL513064105.Q" "FL543064105.Q" "FL573064105.Q" "FL223064105.Q" "FL343064105.Q" "FL653064100.Q" "FL553064103.Q" "FL563064103.Q" "FL663064003.Q" "FL503064105.Q" "FL893064195.Q"
"199103" 4306115 3536308 258216 511591 4306115 2345580 5875 0 282180 0 3980 9791 91089 124669 738870 357453 751 311586 20534 0 13757 0 3908748
"199104" 4847773 3998481 278976 570316 4847773 2759193 6250 0 291200 0 3824 10271 94054 135819 806216 394962 1045 308920 21752 0 14267 0 4424629
"199201" 4758842 3908353 257473 593016 4758842 2695898 6625 0 279172 0 3551 10449 95673 139329 775698 388418 1385 327801 22509 0 12334 0 4356853
"199202" 4757228 3870341 272908 613979 4757228 2639308 7000 0 280355 0 3340 10370 96186 146601 793365 391220 1696 352223 22878 0 12686 0 4338860
"199203" 4900311 3966349 296190 637772 4900311 2743378 7375 0 285368 0 2848 10563 96448 149936 815006 400848 2001 351272 23196 0 12072 0 4458994
"199204" 5421969 4361179 314266 746524 5421969 3094169 7750 0 308847 0 3434 11225 97312 151600 873712 431666 2415 401256 23800 0 14783 0 4957149
"199301" 5670046 4481787 365074 823185 5670046 3170379 8125 0 323329 0 3445 11294 98628 162773 945169 463983 2929 441510 22542 133 15807 0 5153123
"199302" 5758436 4502439 426520 829477 5758436 3177242 8500 0 320431 0 3254 11381 100242 173205 958795 465277 3293 493826 23500 277 19213 0 5174049
"199303" 6024464 4628385 491186 904893 6024464 3302446 8879 0 327673 0 3229 11919 101911 186459 989294 487775 3779 553952 25344 290 21514 0 5369071
"199304" 6296866 4842338 543862 910666 6296866 3436996 9267 0 340997 0 4288 12536 103392 205792 1014338 506221 4398 607439 26491 464 24247 0 5581586
"199401" 6087940 4630536 578653 878751 6087940 3269034 9646 0 330689 0 3450 12022 105477 208496 970105 492220 4792 631782 27320 655 22252 0 5338111
"199402" 6051196 4541826 616744 892626 6051196 3199440 10000 0 328840 0 3192 10939 107566 214805 980057 494757 5179 648317 27973 392 19739 0 5264651
"199403" 6309778 4800739 626046 882993 6309778 3258306 10320 0 351444 0 3007 11006 109646 227345 1045052 520213 5832 716382 30725 322 20178 0 5508848
"199404" 6317493 4796829 626762 893902 6317493 3294200 10598 0 352812 0 2914 10355 111735 231352 1013686 521682 6179 709550 31880 424 20126 0 5513297
"199501" 6800246 5167983 644382 987881 6800246 3543551 10921 0 377550 0 2752 11299 119313 247294 1080416 558839 7171 784267 34410 450 22013 0 5965627
"199502" 7346130 5594356 668010 1083764 7346130 3794049 11427 0 412448 0 3031 12590 125623 267988 1150110 612334 8508 886247 37269 643 23863 0 6475101
"199503" 7956397 6024123 728149 1204125 7956397 4088196 20033 0 448814 0 4566 13582 131418 292211 1220867 667210 9946 991705 40322 774 26753 0 7010833
"199504" 8481326 6406754 790615 1283957 8481326 4434150 26415 0 484581 0 5006 14283 133479 309571 1256776 703520 11459 1024932 41926 1052 34176 0 7460789
"199601" 8910299 6683652 849842 1376805 8910299 4617247 30662 0 511510 0 5190 15901 135245 328554 1293612 736723 13121 1149604 43400 1359 28171 0 7831191
"199602" 9278694 6988156 903587 1386951 9278694 4766016 36489 0 533563 0 5622 16058 139484 348853 1314063 762670 14964 1263009 44420 1560 31923 0 8136040
"199603" 9475398 7047824 939758 1487816 9475398 4782959 41000 0 542322 0 6108 16422 142296 367667 1348212 802307 16362 1334077 44785 1739 29142 0 8295148
"199604" 9748132 6804309 1006135 1937688 9748132 4712249 46898 0 584303 0 6779 17760 147528 406853 1403102 846588 18778 1470007 46987 2401 37899 0 8482643
"199701" 9784993 6790317 1019624 1975052 9784993 4721776 49554 0 599361 0 2265 17949 150124 420600 1354427 848717 20177 1513437 44576 2751 39279 0 8508425
"199702" 11432059 7940529 1192191 2299339 11432059 5580189 60139 0 722384 0 1868 21180 165233 474607 1541637 952228 24842 1790588 49378 3636 44150 0 9954423
"199703" 12505437 8672223 1244738 2588476 12505437 6067867 70395 0 802857 0 1872 22623 172431 525976 1657912 1032573 27943 2015836 51474 4941 50737 0 10956621
"199704" 12621763 8674513 1207787 2739463 12621763 6144148 78426 0 837310 0 2610 23308 184332 539749 1603687 1051316 29946 2018682 49625 6702 51922 0 11095477
"199801" 14337594 9908785 1385867 3042942 14337594 6944659 87576 0 1004657 0 4856 26510 198022 612673 1806215 1153078 35224 2340041 53070 8213 62800 0 12598256
"199802" 14584986 10128661 1370021 3086304 14584986 7084547 93943 0 1045696 0 5620 26931 200628 638293 1774643 1162493 37848 2387468 50982 9215 66679 0 12854910
"199803" 12698222 9008385 1167450 2522387 12698222 6167920 84353 0 931755 0 3565 23979 178310 579513 1526989 1015882 34445 2044521 41745 9799 55447 0 11217928
