"DATES" "FL264090005.Q" "FL313111303.Q" "FL764116005.Q" "FL263020005.Q" "FL263030005.Q" "FL263034003.Q" "FL262050003.Q" "FL264004005.Q" "FL263069103.Q" "FL263061105.Q" "FL263061110.Q" "FL263061120.Q" "FL263061705.Q" "FL263061713.Q" "FL263061723.Q" "FL263062003.Q" "FL263063005.Q" "FL263069500.Q" "FL263064105.Q" "FL263064203.Q" "FL263070005.Q" "FL263067003.Q" "FL263090005.Q" "FL263092001.Q" "FL263093005.Q" "FL264190005.Q" "FL263111005.Q" "FL263191003.Q" "FL264102005.Q" "FL263169105.Q" "FL263163003.Q" "FL263168005.Q" "FL263168465.Q" "FL263168475.Q" "FL263168485.Q" "FL263169205.Q" "FL263169705.Q" "FL263170003.Q" "FL263167003.Q" "FL263190005.Q" "FL313092803.Q" "FL263191103.Q" "FL263192005.Q" "FL263193005.Q" "FL263164103.Q"
"196902" 101831 0 17100 10717 6933 0 0 22253 3426 10607 9421 1186 2520 34 2486 0 5700 0 27895 0 4977 566 11390 11029 361 131252 4904 1809 47931 0 12692 6179 769 2066 3344 25993 3067 4033 396 72179 1587 3758 77224 -10390 6737
"196903" 100635 0 13516 11030 7048 0 0 24933 3844 12558 11293 1265 2604 17 2587 0 5927 0 26633 0 5176 467 11832 11293 539 132758 5579 1618 48494 0 13107 5883 697 2038 3148 26531 2973 4087 297 72683 1637 3817 78952 -11723 6763
"196904" 101250 0 16844 11454 8789 0 0 23164 3820 10240 8962 1278 2688 17 2671 0 6416 0 26761 0 5830 434 7974 11684 -3710 133747 5105 1173 49248 0 13198 6029 765 2095 3169 26852 3169 4618 278 73325 1694 3801 83073 -15243 6953
"197001" 104083 867 15542 11601 9007 0 0 25506 3902 12016 10722 1294 2782 15 2767 0 6806 0 25996 0 5979 368 9217 12294 -3077 137872 5447 1172 49865 0 13480 6052 813 2098 3141 27290 3043 5079 220 76089 1761 3781 85303 -14756 6749
"197002" 100900 867 14861 11692 9113 0 0 28189 4352 13687 12428 1259 2876 47 2829 0 7274 0 21457 0 6215 334 8172 12532 -4360 140115 4439 1220 50300 0 13422 5947 804 1984 3159 27644 3287 5263 182 78711 1810 3818 87920 -14837 5713
"197003" 106342 867 13538 12029 8033 0 0 31204 4209 16425 15165 1260 2962 45 2917 0 7608 0 24473 0 6657 291 9250 12912 -3662 142095 4033 1141 50854 0 13818 5989 646 2188 3155 27991 3056 5374 203 80490 1859 3774 89675 -14818 6471
"197004" 108485 867 10456 12439 7125 0 0 34960 4307 19732 18373 1359 3012 45 2967 0 7909 0 27209 0 7388 349 7692 13224 -5532 144404 3415 798 52054 0 14072 5824 623 2031 3170 28190 3968 5581 279 82277 1929 3817 94349 -17818 6573
"197101" 115261 1584 7305 12260 7190 0 0 40441 4202 24709 23171 1538 3140 43 3097 0 8390 0 30545 0 7203 511 8222 13449 -5227 143736 3379 1082 52962 0 14354 5656 601 1734 3321 28899 4053 5685 314 80314 1963 3737 93028 -18414 7287
"197102" 120511 1584 5976 12153 7259 0 0 47676 4116 31880 28480 3400 3091 39 3052 0 8589 0 29701 0 7077 419 8666 13624 -4958 145196 2997 1102 53954 0 14622 5754 622 1662 3470 29585 3993 5858 300 80985 2012 3658 95439 -20124 7486
"197103" 130277 1584 6424 12238 7360 0 0 58158 4264 41811 39206 2605 3118 37 3081 0 8965 0 29859 0 6839 333 7482 13332 -5850 146329 1924 1239 55415 0 14934 6627 702 2187 3738 29802 4052 5943 320 81488 2119 3652 97825 -22108 7218
"197104" 136221 1720 5846 12725 7454 0 0 62847 4148 46286 44951 1335 3051 37 3014 0 9362 0 30811 0 7109 311 7398 13622 -6224 154923 2059 1234 56576 0 15012 7291 806 2372 4113 30003 4270 6107 314 88633 2181 3635 103902 -21085 7641
"197201" 143162 2491 5213 12972 7950 0 0 66068 4183 49089 47757 1332 3069 273 2796 0 9727 0 33513 0 6879 372 7704 13413 -5709 161776 2763 1421 58007 0 15495 7726 811 2486 4429 30376 4410 6064 379 93142 2218 3527 101047 -13650 8779
"197202" 147532 2491 5618 13643 8248 0 0 67100 4179 49179 47930 1249 3224 296 2928 0 10518 0 33803 0 7209 310 9110 13670 -4560 164956 2849 1626 57958 0 15917 7899 884 2207 4808 30659 3483 6085 339 96099 2289 3513 102790 -12493 9359
"197203" 154741 2491 5727 14347 9412 0 0 71577 3139 54493 53256 1237 3189 294 2895 0 10756 0 35099 0 7392 311 8385 14061 -5676 163780 2730 1820 59116 0 15789 9278 939 3044 5295 31082 2967 6106 336 93672 2336 3499 104982 -17145 9616
"197204" 163779 2491 6787 15076 10580 0 0 73178 4086 54460 53164 1296 3196 294 2902 0 11436 0 39059 0 8045 366 8197 14737 -6540 170904 2664 2172 61123 0 16042 10389 1002 3528 5859 31466 3226 6574 405 97966 2451 3469 125510 -33464 10537
"197301" 171546 2767 3807 14805 11538 0 200 81503 4096 62150 60973 1177 3188 1020 2168 0 11880 189 37594 0 8181 310 10841 15694 -4853 169614 2661 2722 63001 0 16175 11305 1024 4177 6104 32039 3482 6728 364 94138 2528 3499 109828 -21717 12272
"197302" 172181 2767 4937 15950 12522 0 300 79160 4286 59215 58223 992 3252 1208 2044 0 12241 166 34552 0 8623 316 13054 16895 -3841 183337 2644 3005 65142 0 16325 12417 1183 4619 6615 32416 3984 6913 243 105390 2609 3524 112746 -13489 11887
"197303" 176569 2767 2879 16226 12640 0 400 78665 5264 57446 56659 787 3387 1210 2177 0 12544 24 37905 0 9210 290 15587 17428 -1841 183778 2657 2729 64931 0 16546 11689 1170 4425 6094 32978 3718 7452 255 105754 2611 3493 114821 -15171 11711
"197304" 142012 2767 1597 18910 13392 0 500 74698 4387 54303 53223 1080 3248 876 2372 0 12728 32 33516 0 9741 333 -13442 17845 -31287 190728 2726 3329 67419 0 17000 13104 1440 5128 6536 33159 4156 8451 231 108572 2799 4072 126246 -24545 10026
"197401" 147453 2767 6543 19398 12930 0 600 74359 4500 53536 52320 1216 3435 647 2788 0 12837 51 34242 0 10105 383 -13874 19629 -33503 194330 2936 3729 69068 15 17677 14574 1705 6420 6449 31652 5150 10055 225 108317 2913 4253 125396 -24245 10625
"197402" 153309 2767 2019 20763 15006 0 575 77864 4600 56242 55266 976 3574 783 2791 0 13330 118 30543 0 10442 354 -7024 20168 -27192 198544 3294 3529 75411 1 18150 17873 2009 8466 7398 31788 7599 10640 241 105429 3146 3662 127524 -28903 9769
"197403" 161466 2723 1340 20790 18887 0 550 77721 4700 55537 54361 1176 3524 1174 2350 0 13816 144 24012 0 11056 298 4089 21778 -17689 207536 4241 3129 77207 90 18565 16915 1947 7503 7465 32065 9572 11017 178 111764 3229 3518 131984 -26967 8388
"197404" 187166 2809 362 22722 21123 0 525 79798 4800 58270 56493 1777 2781 1778 1003 0 13694 253 23921 0 11845 293 23768 22606 1162 216634 4231 4946 81237 181 19372 17760 1705 8244 7811 32687 11237 11537 193 114490 3445 3531 135298 -27784 9011
"197501" 186345 2862 -5565 21020 21217 0 500 86407 4950 64320 61851 2469 2923 2278 645 0 13924 290 30308 0 12546 349 16701 22884 -6183 222253 4636 5022 83546 255 21480 16528 1711 6726 8091 33942 11341 11333 209 117507 3596 3213 139407 -28709 11291
"197502" 186665 2836 -9695 22297 22045 0 475 86728 5100 64710 62631 2079 2801 2343 458 0 13879 238 35096 0 12987 380 13516 23754 -10238 229297 4622 4822 87409 388 22701 18530 1768 8022 8740 35149 10641 11532 233 120679 3747 2738 143681 -29487 10805
"197503" 190999 2671 -5580 22187 22329 0 462 85634 5200 63987 59784 4203 2368 2368 0 0 13830 249 32046 0 13235 343 17672 23840 -6168 238265 4692 5272 91083 407 23967 20526 1917 9008 9601 36112 10071 12001 258 124959 3937 2211 145176 -26365 9108
"197504" 201463 2685 -9497 23606 22579 0 450 88317 5300 65518 61151 4367 2691 2683 8 0 14483 325 33399 0 13806 364 25754 25209 545 247555 4627 5772 96888 559 26540 21619 1964 9335 10320 37023 11147 12202 319 127747 4119 1995 149542 -27909 9585
"197601" 208351 2653 -10148 23104 21185 0 425 91099 5375 67953 63149 4804 2767 2751 16 0 14714 290 39514 0 15368 411 24740 26681 -1941 258876 5342 6428 101108 707 28895 22574 2081 10092 10401 37776 11156 12058 333 133607 4256 2047 153575 -26271 9885
