"DATES" "FL144090005.Q" "FL103091003.Q" "FL143020005.Q" "FL143030005.Q" "FL123034005.Q" "FL102050003.Q" "FL124004005.Q" "FL103069100.Q" "FL143061105.Q" "FL103061703.Q" "FL143062005.Q" "FL123065005.Q" "FL123066005.Q" "FL103064203.Q" "FL143070005.Q" "FL143090005.Q" "FL144190005.Q" "FL144104005.Q" "FL103169100.Q" "FL103162005.Q" "FL103163003.Q" "FL143168005.Q" "FL143169005.Q" "FL143165005.Q" "FL143170005.Q" "FL143178005.Q" "FL143190005.Q"
"197404" 696465 4946 71906 28248 0 5485 55476 16520 3851 2953 4654 4139 23359 816 258807 270781 1092997 823227 12513 4078 226579 213631 71644 294782 192748 30061 46961
"197501" 821262 2170 76334 27638 0 1453 58295 6255 7716 3999 6229 12525 21571 832 276277 378263 1369404 832356 14009 4508 236009 205894 73204 298731 180979 28748 327321
"197502" 840653 1739 78479 29922 0 794 61840 6685 9349 3555 7296 12593 22362 851 283132 383896 1392130 845720 11658 5319 244281 204499 75317 304646 181806 24716 339888
"197503" 844929 1760 77985 32325 0 813 61957 7267 10435 3484 5419 12737 22615 871 299352 369866 1422588 852455 11780 5920 247958 200863 76723 309212 192423 27300 350410
"197504" 857286 2622 83016 32218 0 1189 68848 8371 15538 3264 4846 12949 23880 890 285992 382511 1441979 864192 9616 6678 253783 201393 79895 312826 205313 28894 343581
"197601" 893447 3182 83460 33151 0 3107 72839 9324 20508 3088 4084 13190 22645 912 304617 392179 1477934 875248 10926 6985 260254 194788 84104 318191 197556 32477 372654
"197602" 926438 3298 84461 34764 0 1329 74455 9073 21690 3029 3474 13492 23697 942 319746 407443 1513002 896824 11818 7487 265211 199224 87801 325284 206795 30102 379281
"197603" 950589 2709 84472 34321 0 1961 74354 9486 19886 3018 3984 13940 24040 964 333111 418697 1554781 912247 10889 8360 270908 199543 90456 332091 213977 33486 395071
"197604" 957392 3439 89677 38273 0 1459 81168 10511 23062 2868 4228 14518 25981 964 318298 424114 1580453 935479 11049 9163 276614 203656 96041 338956 227236 35575 382163
"197701" 977612 3897 85835 37906 31 1701 80316 10494 24067 2789 4104 15480 23382 941 341363 425622 1628267 962345 12083 11928 282016 207746 102123 346449 230274 37262 398386
