"DATES" "FL404090005.Q" "FL403020005.Q" "FL403030005.Q" "FL402050005.Q" "FL404004005.Q" "FL403069105.Q" "FL403061105.Q" "FL403061705.Q" "FL403062005.Q" "FL403063005.Q" "FL403069305.Q" "FL403069385.Q" "FL403069345.Q" "FL403069330.Q" "FL403065005.Q" "FL403065105.Q" "FL403065405.Q" "FL403065605.Q" "FL403066005.Q" "FL403093005.Q" "FL404190005.Q" "FL404104005.Q" "FL403161705.Q" "FL403169283.Q" "FL403190005.Q"
"197103" 45854 381 0 604 43008 0 2145 207 0 0 15357 0 7720 7637 25299 16724 808 7767 0 1861 44565 38635 38635 0 5930
"197104" 47271 247 0 352 44991 0 2493 208 0 0 15618 0 7682 7936 26672 17615 1140 7917 0 1681 45997 40021 40021 0 5976
"197201" 48227 167 0 347 45994 0 4160 213 0 0 14152 0 8160 5992 27469 17930 1400 8139 0 1719 46913 40451 40451 0 6462
"197202" 49478 192 0 1120 46438 0 3228 221 0 0 14516 0 8441 6075 28473 18450 1593 8430 0 1728 48167 41885 41885 0 6282
"197203" 50228 197 0 967 47313 431 1957 229 0 0 15107 0 8371 6736 29589 18975 1869 8745 0 1751 48882 42553 42553 0 6329
"197204" 51263 199 0 752 48950 414 1245 241 0 0 16373 0 8394 7979 30677 19464 2119 9094 0 1362 49922 43542 43542 0 6380
"197301" 54043 234 0 1214 50931 159 935 242 0 0 17715 0 9295 8420 31880 19939 2374 9567 0 1664 52602 45546 45546 0 7056
"197302" 59088 210 0 1943 55224 190 337 310 0 0 20828 0 9683 11145 33559 20534 2948 10077 0 1711 57570 50584 50584 0 6986
"197303" 65822 214 0 2393 60906 94 448 313 0 0 24205 0 9907 14298 35846 21840 3481 10525 0 2309 64201 56671 56671 0 7530
"197304" 70039 297 0 3033 64360 221 1145 322 0 0 24922 0 9775 15147 37750 22839 3963 10948 0 2349 68371 59837 59837 0 8534
"197401" 70321 271 0 1625 66317 343 1124 313 0 0 25658 0 10663 14995 38879 23056 4524 11299 0 2108 68553 59877 59877 0 8676
"197402" 76014 217 0 1954 72408 261 756 312 0 0 28929 0 11287 17642 42150 24865 5108 12177 0 1435 74132 65391 65391 0 8741
"197403" 83969 239 0 2255 79730 267 819 310 0 0 32795 0 12023 20772 45539 26980 5682 12877 0 1745 81918 73158 73048 110 8760
"197404" 88189 284 0 2064 85308 1097 1441 449 0 0 34227 0 12423 21804 48094 28441 6169 13484 0 533 86047 77134 76439 695 8913
"197501" 88832 234 0 1458 86678 1799 4248 384 0 0 30716 0 12552 18164 49531 28444 6388 14699 0 462 86636 77025 76072 953 9611
"197502" 90048 230 0 2136 86796 1717 3523 399 0 0 30195 0 13392 16803 50962 29027 6428 15507 0 886 87629 77269 76022 1247 10360
"197503" 90691 204 0 1213 87483 867 3024 399 0 0 30982 0 13500 17482 52211 30197 6407 15607 0 1791 88074 78364 76956 1408 9710
"197504" 93378 281 0 1777 89824 1186 2935 424 0 0 31819 0 13974 17845 53460 30934 6410 16116 0 1496 90967 80340 78781 1559 10627
"197601" 94191 285 0 2083 90536 1595 4093 370 0 0 30357 0 14600 15757 54121 31064 6275 16782 0 1287 91724 80563 79029 1534 11161
"197602" 94434 265 0 1702 91583 1860 3847 378 0 0 30878 0 15604 15274 54620 30856 6279 17485 0 884 91753 81090 79556 1534 10663
"197603" 96520 217 0 1310 93909 1330 4205 356 0 0 32112 0 16050 16062 55906 31540 6284 18082 0 1084 93709 82361 80871 1490 11348
"197604" 97848 235 0 2062 94528 1153 4392 455 0 0 32105 0 16243 15862 56423 31430 6350 18643 0 1023 95010 82413 81241 1172 12597
"197701" 98335 234 0 2596 94549 1392 3202 549 0 0 32537 0 18075 14462 56459 30656 6351 19452 410 956 95430 82528 82118 410 12902
"197702" 101720 224 0 3404 96748 2333 1401 367 0 0 33964 0 18247 15717 58253 31467 6472 20314 430 1344 98580 85101 84671 430 13479
"197703" 102917 272 0 3122 98153 1739 830 342 0 0 35538 0 18484 17054 59194 31652 6528 21014 510 1370 99626 86532 86022 510 13094
"197704" 105900 304 0 2218 101382 1386 961 84 0 0 38492 0 18319 20173 59944 31918 6403 21623 515 1996 102641 88712 88197 515 13929
"197801" 111151 264 0 3680 104689 1149 842 210 0 0 39578 0 18300 21278 62320 33566 6370 22384 590 2518 107707 93211 92621 590 14496
"197802" 119335 298 0 3511 113105 788 1320 637 0 0 44656 0 19382 25274 65014 35564 6176 23274 690 2421 115664 99969 99279 690 15695
"197803" 127013 248 0 3759 120382 236 1097 355 0 0 49317 0 20159 29158 68632 38282 6246 24104 745 2624 123120 106013 105268 745 17107
"197804" 134484 334 0 3641 128067 188 1442 193 0 0 53137 0 20467 32670 72192 40942 6395 24855 915 2442 130653 112181 111266 915 18472
"197901" 141755 301 0 5863 132832 170 862 225 0 0 53695 0 21814 31881 76850 44367 6460 26023 1030 2759 137727 118384 117354 1030 19343
"197902" 149379 356 0 4692 142031 47 1827 345 0 0 58501 0 23430 35071 80171 46341 6412 27418 1140 2300 144954 123699 122559 1140 21255
"197903" 154377 370 0 3527 148148 52 931 390 0 0 62596 0 24000 38596 82904 47778 6522 28604 1275 2332 149648 128251 126976 1275 21397
"197904" 165640 506 0 4205 158073 336 1239 602 0 0 67761 0 25923 41838 86630 50128 6583 29919 1505 2856 161184 137027 135522 1505 24157
"198001" 175366 482 0 3760 168212 488 1810 610 0 0 71836 0 27714 44122 91736 53327 6619 31790 1732 2912 170571 146080 144295 1785 24491
"198002" 181731 466 0 7158 171221 1159 1817 707 0 0 70223 0 27859 42364 95193 54775 6557 33861 2122 2886 176947 151056 148876 2180 25891
"198003" 184280 366 0 4716 175962 658 2055 766 0 0 72961 0 28800 44161 97244 55536 6643 35065 2278 3236 179496 153089 150744 2345 26407
"198004" 195140 533 0 6008 184493 374 1682 825 0 0 78191 0 29228 48963 100782 57758 6744 36280 2639 4106 190359 162646 159926 2720 27713
"198101" 199694 384 0 6940 186885 267 3 680 0 0 79475 0 30300 49175 103049 58050 6724 38275 3411 5485 194831 166778 163383 3395 28053
"198102" 210453 384 0 6767 199778 300 1734 863 0 0 87380 0 31285 56095 105852 58624 6705 40523 3649 3524 205243 176798 173398 3400 28445
"198103" 227397 450 0 9211 213800 402 1828 745 0 0 96397 0 32050 64347 110097 61015 6717 42365 4331 3936 222054 191019 186719 4300 31035
"198104" 232638 710 0 9476 217705 686 1901 983 0 0 95898 0 30704 65194 113411 63990 5482 43939 4826 4747 227415 195031 190431 4600 32384
"198201" 235842 521 0 9480 220871 432 1871 875 0 0 96493 0 30331 66162 116158 65298 5459 45401 5042 4970 230426 197214 192214 5000 33212
"198202" 245706 491 0 10939 229469 486 2102 1083 0 0 100419 0 31021 69398 119961 67837 5434 46690 5418 4807 239789 206009 201009 5000 33780
"198203" 250517 427 0 11661 236188 246 6133 1048 0 0 98242 0 30600 67642 124500 71692 5396 47412 6019 2241 244219 212102 207102 5000 32117
"198204" 254793 560 0 14855 233710 404 3402 929 0 0 95062 0 29061 66001 127500 74316 5361 47823 6413 5668 248414 210373 205373 5000 38041
"198301" 251929 499 0 15568 229628 658 3407 460 131 0 89491 475 29000 60016 129691 76228 5351 48112 5790 6234 245289 207193 202193 5000 38096
"198302" 252710 356 0 14223 231514 304 3198 556 340 0 89202 1251 29158 58793 132551 78617 5389 48545 5363 6617 245853 207669 202669 5000 38184
