DATES,FL664090005.Q,FL663020003.Q,FL664004005.Q,FL663069103.Q,FL663061105.Q,FL663061703.Q,FL663062003.Q,FL663063005.Q,FL663069803.Q,FL663064003.Q,FL663067003.Q,FL663090005.Q,FL664190005.Q,FL662150005.Q,FL664104005.Q,FL663163003.Q,FL663168005.Q,FL663170003.Q,FL663167005.Q,FL663167003.Q,FL763067005.Q,FL663178003.Q,FL663190005.Q,FL663192003.Q,FL663194005.Q,FL663193005.Q,tot_asset,tot_liabilities,Leverage,LevFac,LogLev,Z-LevFac,Z-LogLev,No Seasonal-Adj LevFac,No Seasonal-Adj LogLev
1979Q4,32683,2205,3946,7169,-7023,0,2184,1616,0,2566,17458,6508,28507,-9643,0,0,0,1340,30508,10354,20154,208,6094,1284,0,4810,32683,28507,7.826388888888889,-0.23986111265955193,2.057501214463776,-2.0043626320893515,-1.0799846657944803,-1.1216105887802572,-1.0799846657944803
1980Q1,36918,2647,8109,6144,-246,0,1108,1103,0,2066,18735,5361,32686,-3529,0,0,0,1400,28382,11663,16719,239,6194,1329,0,4865,36918,32686,8.723534971644613,0.24854198282704715,2.16602454243041,1.6165362360646451,-0.9132506363868164,0.7957460152711778,-0.9132506363868164
1980Q2,42098,2711,12163,7913,-137,0,1738,2649,0,2283,18620,6321,37082,-537,0,0,0,1500,29316,12635,16681,373,6430,1371,8675,-3616,42098,37082,8.39274322169059,-0.024388723685890623,2.1273674302910313,-0.40690402348686905,-0.9726429918649327,-0.20676757927198966,-0.9726429918649327
1980Q3,44369,2905,10689,6655,465,0,1718,1851,0,2745,19972,8058,39480,-1137,0,0,0,1600,30915,14808,16107,497,7605,1692,8855,-2942,44369,39480,9.075271016567806,0.14161443039067523,2.2055532437895984,0.8238020024587086,-0.8525191809628175,0.589103266703634,-0.8525191809628175
1980Q4,45358,2997,6554,6750,-4746,0,2509,2041,0,3268,24737,7802,39087,-8726,0,0,0,1700,37160,16236,20924,483,8470,886,8631,-1047,45358,39087,7.232977196619359,-0.2754347922516064,1.9786507351757865,-2.268097029682819,-1.2011296617943643,-1.4889934575194994,-1.2011296617943643
1981Q1,53658,2950,19065,6799,8332,0,1696,2238,0,3053,21807,6783,47072,2704,0,0,0,1800,35470,15884,19586,419,6679,821,9522,-3664,53658,47072,8.14728211357425,0.24381393724475597,2.097684388637927,1.5814836840728481,-1.0182476856448661,0.8673366708279148,-1.0182476856448661
1981Q2,52462,2720,16750,10730,1130,0,2066,2824,0,3384,22179,7429,45540,-1931,0,0,0,1900,37593,14709,22884,374,7604,875,11592,-4863,52462,45540,7.579023403640567,-0.054618021082735176,2.0253843527840325,-0.6310165029957716,-1.1293286534893525,-0.4359249887734616,-1.1293286534893525
1981Q3,47271,3139,14043,8031,1962,0,1766,2284,0,2768,21068,6253,40667,-5005,0,0,0,2000,35277,13300,21977,334,8061,934,14317,-7190,47271,40667,7.157934585099939,0.005897164892435039,1.9682214735901367,-0.18237199105771265,-1.217153062850187,-0.33281886051723725,-1.217153062850187
1981Q4,59758,2844,20949,11572,2958,0,3004,3415,0,3475,23023,9467,52529,-309,0,0,0,2100,40938,14729,26209,324,9476,1072,4203,4201,59758,52529,8.266426891686264,0.08983397818003705,2.1122023590442205,0.4399146304607841,-0.9959424380080926,1.0372637290710556,-0.9959424380080926
1982Q1,55929,3398,21481,9425,6685,0,1873,3498,0,2750,19250,9050,49061,3892,0,0,0,2200,34986,14632,20354,263,7720,1250,4482,1988,55929,49061,8.14341875364007,0.10368867694656662,2.097210086146205,0.5426299153267826,-1.0189763986974847,-0.04557548720420702,-1.0189763986974847
1982Q2,54746,3275,18862,13009,-722,0,2431,4144,0,3274,19099,10236,47941,-182,0,0,0,2300,36869,15378,21491,263,8691,1408,5015,2268,54746,47941,8.044966936076415,0.005212010344637443,2.0850466705634854,-0.18745155617422601,-1.0376641345922992,-0.02630684040871884,-1.0376641345922992
